ts,y
307.9689,65.0
308.16858,65.0
311.22901,65.0
315.04109,65.0
318.59229,65.0
322.01832,65.0
324.9035,65.0
327.27567,65.0
329.35402,65.0
331.2077,65.0
332.63039,65.0
333.90938,65.0
335.16825,65.0
336.49035,65.0
338.4487,65.0
341.10678,65.0
345.06284,65.0
351.66444,65.0
361.71774,65.0
374.23821,65.0
387.368,65.0
398.69743,65.0
406.62819,65.0
412.25891,65.0
414.80694,65.0
413.8054,65.0
411.57678,65.0
409.489,65.0
407.09474,65.0
404.86341,65.0
406.39993,65.0
408.37207,65.0
410.3957,65.0
412.4647,65.0
414.91224,65.0
416.6599,65.0
416.1254,65.0
413.13355,65.0
409.36429,65.0
406.79993,65.0
406.64308,65.0
408.24142,65.0
409.39938,65.0
412.22965,65.0
416.83933,65.0
424.60196,65.0
433.68708,65.0
446.93556,65.0
466.45527,65.0
493.9338,65.0
526.93589,65.0
564.93415,65.0
607.04845,65.0
649.34054,65.0
687.19827,65.0
720.84398,65.0
751.49294,65.0
777.45914,65.0
799.76136,65.0
818.23726,65.0
833.2228,65.0
844.43086,65.0
852.71637,65.0
859.5245,65.0
865.92476,65.0
872.40439,65.0
878.43848,65.0
882.91311,65.0
885.59188,65.0
887.0819,65.0
887.82326,65.0
887.59608,65.0
887.14842,65.0
886.91485,65.0
886.49906,65.0
886.4446,65.0
886.45642,65.0
886.43007,65.0
886.13639,65.0
885.96429,65.0
886.13703,65.0
886.74834,65.0
887.42814,65.0
887.80006,65.0
888.09608,65.0
888.36284,65.0
888.46155,65.0
888.61338,65.0
888.65612,65.0
888.59981,65.0
888.89529,65.0
888.97453,65.0
888.98659,65.0
888.62901,65.0
887.64848,65.0
884.41682,65.0
878.44501,65.0
868.7619,65.0
853.05445,65.0
830.8269,65.0
803.86564,65.0
772.6294,65.0
740.96312,65.0
708.72815,65.0
676.35525,65.0
644.30817,65.0
611.63166,65.0
579.02269,65.0
549.1683,65.0
521.04112,65.0
497.85722,65.0
477.78384,65.0
461.85157,65.0
449.65639,65.0
440.44225,65.0
431.85203,65.0
424.34698,65.0
419.71638,65.0
416.21807,65.0
413.6275,65.0
412.13226,65.0
412.10122,65.0
413.03075,65.0
413.82832,65.0
414.95307,65.0
414.97779,65.0
413.6105,65.0
410.33863,65.0
406.81402,65.0
402.57155,65.0
398.18411,65.0
