ts,y
-0.29419,22.0
-0.29297,22.0
-0.29297,22.0
-0.28809,22.0
-0.28809,22.0
-0.29419,22.0
-0.29175,22.0
-0.29053,22.0
-0.28809,22.0
-0.29175,22.0
-0.29053,22.0
-0.29297,22.0
-0.29175,22.0
-0.29419,22.0
-0.29541,22.0
-0.29419,22.0
-0.29175,22.0
-0.29297,22.0
-0.29419,22.0
-0.29297,22.0
-0.29053,22.0
-0.29053,22.0
-0.29175,22.0
-0.29297,22.0
-0.29053,22.0
-0.28809,22.0
-0.29175,22.0
-0.29053,22.0
-0.29663,22.0
-0.28931,22.0
-0.29297,22.0
-0.29175,22.0
-0.29175,22.0
-0.29297,22.0
-0.29175,22.0
-0.29297,22.0
-0.29297,22.0
-0.29175,22.0
-0.29175,22.0
-0.28687,22.0
-0.29175,22.0
-0.29297,22.0
-0.28931,22.0
-0.29175,22.0
-0.29175,22.0
-0.29297,22.0
-0.29175,22.0
-0.28931,22.0
-0.28931,22.0
-0.28809,22.0
-0.28931,22.0
-0.29175,22.0
-0.28931,22.0
-0.29053,22.0
-0.28931,22.0
-0.28931,22.0
-0.29053,22.0
-0.29053,22.0
-0.29175,22.0
-0.30151,22.0
-0.29175,22.0
-0.29297,22.0
-0.28687,22.0
-0.28809,22.0
-0.28809,22.0
-0.29175,22.0
-0.28931,22.0
-0.28809,22.0
-0.28809,22.0
-0.28931,22.0
-0.28931,22.0
-0.28809,22.0
-0.28931,22.0
-0.28809,22.0
-0.28809,22.0
-0.28687,22.0
-0.28809,22.0
-0.28687,22.0
-0.28809,22.0
-0.28809,22.0
-0.28687,22.0
-0.29785,22.0
-0.28687,22.0
-0.28687,22.0
-0.2832,22.0
-0.28687,22.0
-0.28687,22.0
-0.28687,22.0
-0.28442,22.0
-0.28687,22.0
-0.28809,22.0
-0.28687,22.0
-0.28931,22.0
-0.29541,22.0
-0.2832,22.0
-0.28809,22.0
-0.28687,22.0
-0.28687,22.0
-0.28687,22.0
-0.28931,22.0
-0.28809,22.0
-0.28809,22.0
-0.29419,22.0
-0.28931,22.0
-0.28687,22.0
-0.28687,22.0
-0.28687,22.0
-0.28564,22.0
-0.28687,22.0
-0.28564,22.0
-0.28442,22.0
-0.28564,22.0
-0.2832,22.0
-0.29053,22.0
-0.28809,22.0
-0.2832,22.0
-0.28564,22.0
-0.2832,22.0
-0.28687,22.0
-0.28809,22.0
-0.28442,22.0
-0.28687,22.0
-0.28564,22.0
-0.28564,22.0
-0.28564,22.0
-0.28931,22.0
-0.2832,22.0
-0.2832,22.0
-0.28442,22.0
-0.28442,22.0
-0.28564,22.0
-0.29541,22.0
-0.29907,22.0
-0.29175,22.0
-0.27954,22.0
-0.28931,22.0
-0.30518,22.0
-0.26001,22.0
-0.26855,22.0
-0.25879,22.0
-0.26245,22.0
-0.27344,22.0
-0.28687,22.0
-0.2771,22.0
-0.27222,22.0
-0.27954,22.0
-0.27222,22.0
-0.2771,22.0
-0.28198,22.0
-0.27588,22.0
-0.27466,22.0
-0.27832,22.0
-0.29785,22.0
-0.29663,22.0
-0.24048,22.0
-0.25635,22.0
-0.28809,22.0
-0.26367,22.0
-0.29053,22.0
-0.30029,22.0
-0.29419,22.0
-0.32471,22.0
-0.32227,22.0
-0.34546,22.0
-0.33813,22.0
-0.35522,22.0
-0.36011,22.0
-0.37231,22.0
-0.36865,22.0
-0.37354,22.0
-0.3894,22.0
-0.37231,22.0
-0.39795,22.0
-0.38574,22.0
-0.39429,22.0
-0.40894,22.0
-0.38452,22.0
-0.39307,22.0
-0.38574,22.0
-0.38818,22.0
-0.38574,22.0
-0.39063,22.0
-0.39307,22.0
-0.38818,22.0
-0.40405,22.0
-0.38452,22.0
-0.39063,22.0
-0.40405,22.0
-0.39795,22.0
-0.39429,22.0
-0.41504,22.0
-0.40283,22.0
-0.41138,22.0
-0.4126,22.0
-0.39185,22.0
-0.38818,22.0
-0.3772,22.0
-0.37476,22.0
-0.38452,22.0
-0.37842,22.0
-0.41138,22.0
-0.39795,22.0
-0.38574,22.0
-0.39429,22.0
-0.38696,22.0
-0.40039,22.0
-0.41016,22.0
-0.38818,22.0
-0.38818,22.0
-0.41138,22.0
-0.40405,22.0
-0.4187,22.0
-0.39063,22.0
-0.3833,22.0
-0.38574,22.0
-0.38086,22.0
-0.39307,22.0
-0.39795,22.0
-0.40527,22.0
-0.40161,22.0
-0.39795,22.0
-0.42969,22.0
-0.40283,22.0
-0.41626,22.0
-0.40771,22.0
-0.40405,22.0
-0.40161,22.0
-0.40161,22.0
-0.4187,22.0
-0.42114,22.0
-0.41992,22.0
-0.4187,22.0
-0.40161,22.0
-0.40894,22.0
-0.39917,22.0
-0.39307,22.0
-0.40039,22.0
-0.41626,22.0
-0.41016,22.0
-0.4126,22.0
-0.41626,22.0
-0.4187,22.0
-0.42236,22.0
-0.42114,22.0
-0.42725,22.0
-0.41626,22.0
-0.40894,22.0
-0.40771,22.0
-0.40771,22.0
-0.40283,22.0
-0.40771,22.0
-0.40894,22.0
