ts,y
-1.8573478,1.0
-1.7970889,1.0
-1.78297,1.0
-1.7688511,1.0
-1.7547323,1.0
-1.7406134,1.0
-1.7264946,1.0
-1.7058238,1.0
-1.6890288,1.0
-1.6678044,1.0
-1.6515631,1.0
-1.629785,1.0
-1.6107753,1.0
-1.5907505,1.0
-1.5727559,1.0
-1.5532847,1.0
-1.5391659,1.0
-1.515819,1.0
-1.5017001,1.0
-1.4783533,1.0
-1.4642344,1.0
-1.4408875,1.0
-1.4267687,1.0
-1.4108965,1.0
-1.3893029,1.0
-1.3751841,1.0
-1.3610652,1.0
-1.3469464,1.0
-1.3328275,1.0
-1.3187086,1.0
-1.3045898,1.0
-1.2904709,1.0
-1.285211,1.0
-1.285211,1.0
-1.2853955,1.0
-1.294439,1.0
-1.294439,1.0
-1.294439,1.0
-1.294439,1.0
-1.294439,1.0
-1.2925934,1.0
-1.285211,1.0
-1.285211,1.0
-1.285211,1.0
-1.2759829,1.0
-1.2681391,1.0
-1.2667549,1.0
-1.2583574,1.0
-1.2534666,1.0
-1.2482989,1.0
-1.2390709,1.0
-1.238794,1.0
-1.2298429,1.0
-1.2206149,1.0
-1.2148935,1.0
-1.2100026,1.0
-1.2021588,1.0
-1.1929308,1.0
-1.1861021,1.0
-1.1812112,1.0
-1.1744748,1.0
-1.1652468,1.0
-1.1573107,1.0
-1.1467907,1.0
-1.1467907,1.0
-1.1375627,1.0
-1.1375627,1.0
-1.1328564,1.0
-1.1283347,1.0
-1.1283347,1.0
-1.1283347,1.0
-1.1225211,1.0
-1.1191067,1.0
-1.1191067,1.0
-1.1098787,1.0
-1.1098787,1.0
-1.1072948,1.0
-1.1006507,1.0
-1.1006507,1.0
-1.0926223,1.0
-1.0914227,1.0
-1.0914227,1.0
-1.0871778,1.0
-1.0821947,1.0
-1.0821947,1.0
-1.0729666,1.0
-1.0729666,1.0
-1.0637386,1.0
-1.0637386,1.0
-1.0545106,1.0
-1.0545106,1.0
-1.0452826,1.0
-1.0382693,1.0
-1.0333785,1.0
-1.0192596,1.0
-1.0143688,1.0
-1.0083705,1.0
