ts,y
1.1995068,14.0
1.1995068,14.0
1.2332168,14.0
1.3256785,14.0
1.3632054,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3787227,14.0
1.3739961,14.0
1.3286214,14.0
1.261576,14.0
1.1699703,14.0
1.0091611,14.0
0.82908902,14.0
0.62704296,14.0
0.44088875,14.0
0.26709488,14.0
0.15838453,14.0
0.064531566,14.0
-0.0056708784,14.0
-0.096099327,14.0
-0.19689048,14.0
-0.28678385,14.0
-0.36149882,14.0
-0.4120104,14.0
-0.46059561,14.0
-0.50304521,14.0
-0.50304521,14.0
-0.47966225,14.0
-0.43086305,14.0
-0.41818167,14.0
-0.40505437,14.0
-0.36481632,14.0
-0.33929299,14.0
-0.3247388,14.0
-0.32382916,14.0
-0.31555327,14.0
-0.28815721,14.0
-0.26076115,14.0
-0.23422121,14.0
-0.23422121,14.0
-0.23422121,14.0
-0.23422121,14.0
-0.23422121,14.0
-0.23497032,14.0
-0.24096321,14.0
-0.26791338,14.0
-0.31671261,14.0
-0.32382916,14.0
-0.32382916,14.0
-0.32382916,14.0
-0.29835939,14.0
-0.25469691,14.0
-0.20454213,14.0
-0.15403062,14.0
-0.1035191,14.0
-0.073875692,14.0
-0.055005218,14.0
-0.055005218,14.0
-0.073090908,14.0
-0.11760953,14.0
-0.20568365,14.0
-0.30856164,14.0
-0.42328274,14.0
-0.55641055,14.0
-0.70794507,14.0
-0.85503843,14.0
-0.99103781,14.0
-1.0920609,14.0
-1.1930839,14.0
-1.294107,14.0
-1.3951299,14.0
-1.48233,14.0
-1.5405466,14.0
-1.6199524,14.0
-1.7096139,14.0
-1.8106369,14.0
-1.8991748,14.0
-1.9702335,14.0
-2.0252397,14.0
-2.0726299,14.0
-2.1017382,14.0
-2.0985098,14.0
-2.0642647,14.0
-1.9715889,14.0
-1.8705659,14.0
-1.7695428,14.0
-1.6659336,14.0
-1.5606299,14.0
-1.4105402,14.0
-1.2590057,14.0
-1.1074711,14.0
-0.95593651,14.0
-0.80964576,14.0
-0.74201175,14.0
-0.68169045,14.0
-0.63117889,14.0
-0.55423448,14.0
-0.46765864,14.0
-0.36663561,14.0
-0.25268149,14.0
-0.12683074,14.0
0.021760888,14.0
0.17329545,14.0
0.32483002,14.0
0.47636456,14.0
0.62789908,14.0
0.77188898,14.0
0.90100369,14.0
1.0020267,14.0
1.1030498,14.0
1.2040729,14.0
1.3050958,14.0
1.3862673,14.0
1.4419155,14.0
1.4604827,14.0
1.462195,14.0
1.4253815,14.0
1.3985741,14.0
1.3805954,14.0
1.3534134,14.0
1.3256071,14.0
1.2990672,14.0
1.2768079,14.0
1.257117,14.0
1.2221764,14.0
1.1995068,14.0
1.1995068,14.0
1.1945841,14.0
1.1840965,14.0
1.1335849,14.0
1.0830734,14.0
1.0325619,14.0
0.94240102,14.0
0.83490351,14.0
0.68936188,14.0
0.56236966,14.0
0.45107309,14.0
0.38167329,14.0
0.32054937,14.0
0.27003783,14.0
0.21952629,14.0
0.16901475,14.0
0.14161869,14.0
0.12421078,14.0
0.12421078,14.0
0.12421078,14.0
0.12324763,14.0
0.11297411,14.0
0.087004909,14.0
0.042486286,14.0
0.036011823,14.0
0.046873939,14.0
0.097385453,14.0
0.12142836,14.0
0.12399675,14.0
0.16423471,14.0
0.20982349,14.0
0.26033507,14.0
0.26550751,14.0
0.24581655,14.0
0.22612558,14.0
0.20386625,14.0
0.17732632,14.0
0.13305741,14.0
0.084418691,14.0
0.051885851,14.0
0.03460278,14.0
0.03460278,14.0
0.026754946,14.0
0.0092043354,14.0
-0.04130718,14.0
-0.090855551,14.0
-0.13965481,14.0
-0.096384707,14.0
-0.073340612,14.0
-0.11700311,14.0
-0.16516027,14.0
-0.21486917,14.0
-0.22685495,14.0
-0.23422121,14.0
-0.23422121,14.0
-0.21174787,14.0
-0.17648612,14.0
-0.10029079,14.0
-0.022454542,14.0
0.057165303,14.0
0.097777846,14.0
0.11885998,14.0
0.093176161,14.0
0.024329252,14.0
-0.076693777,14.0
-0.17370371,14.0
-0.25648051,14.0
-0.306992,14.0
-0.32382916,14.0
-0.32093974,14.0
-0.228478,14.0
-0.14923273,14.0
-0.090159946,14.0
-0.008952699,14.0
0.076660036,14.0
0.14429408,14.0
0.18929426,14.0
0.21069743,14.0
0.21381873,14.0
0.21381873,14.0
0.21381873,14.0
0.20432999,14.0
0.18806359,14.0
0.16205873,14.0
0.15959736,14.0
0.21010886,14.0
0.26062042,14.0
0.311132,14.0
0.36164347,14.0
0.41215493,14.0
0.46266638,14.0
0.51317794,14.0
0.56925434,14.0
0.66086,14.0
0.75717432,14.0
0.85819728,14.0
0.95922029,14.0
1.0667178,14.0
1.195993,14.0
1.3384847,14.0
1.4900192,14.0
1.6415538,14.0
1.7831359,14.0
1.9038499,14.0
1.9762996,14.0
2.0268111,14.0
2.0773226,14.0
2.1246235,14.0
2.1674299,14.0
2.0978696,14.0
1.9968466,14.0
1.8958236,14.0
1.7266314,14.0
1.4920525,14.0
1.2769506,14.0
1.0670924,14.0
0.86504632,14.0
0.64386223,14.0
0.41013943,14.0
0.18471041,14.0
-0.025040786,14.0
-0.20397142,14.0
-0.36378188,14.0
-0.51349718,14.0
-0.63592336,14.0
-0.73641127,14.0
-0.80746978,14.0
-0.93274973,14.0
-1.058654,14.0
-1.1108778,14.0
-1.1885179,14.0
-1.289541,14.0
-1.3905639,14.0
-1.4697556,14.0
-1.4834536,14.0
-1.4645297,14.0
-1.4251479,14.0
-1.3748683,14.0
-1.3243568,14.0
-1.2738452,14.0
-1.2421328,14.0
-1.2215322,14.0
-1.2437916,14.0
-1.2784112,14.0
-1.3289228,14.0
-1.3684473,14.0
-1.4006948,14.0
-1.4101121,14.0
-1.4413608,14.0
-1.4918722,14.0
-1.5416167,14.0
-1.578341,14.0
-1.578341,14.0
-1.578341,14.0
-1.578341,14.0
-1.5359806,14.0
-1.4904453,14.0
-1.4399339,14.0
-1.3648087,14.0
-1.2786966,14.0
-1.1776735,14.0
-1.0881547,14.0
-1.0128155,14.0
-0.95764883,14.0
-0.91016949,14.0
-0.87678055,14.0
-0.85452124,14.0
-0.84167931,14.0
-0.79469927,14.0
-0.74418773,14.0
-0.69367626,14.0
-0.64316471,14.0
-0.59265311,14.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.41283289,28.0
0.3848392,28.0
0.34823205,28.0
0.29722816,28.0
0.24862373,28.0
0.24862373,28.0
0.23634957,28.0
0.18143886,28.0
0.13440329,28.0
0.10041094,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.084414541,28.0
0.076047194,28.0
0.062101616,28.0
0.025843111,28.0
-0.017736823,28.0
-0.023417595,28.0
-0.025827309,28.0
-0.038901289,28.0
-0.053821007,28.0
-0.075610974,28.0
-0.097400942,28.0
-0.11919091,28.0
-0.1310549,28.0
-0.1336697,28.0
-0.14212933,28.0
-0.15346011,28.0
-0.17053318,28.0
-0.18883674,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.18926741,28.0
-0.17763927,28.0
-0.1619505,28.0
-0.13379274,28.0
-0.10350213,28.0
-0.059922198,28.0
-0.020700258,28.0
0.0010897085,28.0
0.022879675,28.0
0.044669642,28.0
0.066459607,28.0
0.08824957,28.0
0.11003953,28.0
0.13182949,28.0
0.15361947,28.0
0.17540947,28.0
0.19719944,28.0
0.21898941,28.0
0.24077935,28.0
0.26256929,28.0
0.28435924,28.0
0.3061492,28.0
0.32793919,28.0
0.33767035,28.0
0.33854195,28.0
0.32288392,28.0
0.30109392,28.0
0.27930397,28.0
0.25692954,28.0
0.2185792,28.0
0.17432249,28.0
0.1045946,28.0
0.020890363,28.0
-0.089802659,28.0
-0.22116796,28.0
-0.37369775,28.0
-0.52622751,28.0
-0.67875726,28.0
-0.81455231,28.0
-0.94616369,28.0
-1.0354154,28.0
-1.1181455,28.0
-1.1634687,28.0
-1.2049568,28.0
-1.2354627,28.0
-1.2623797,28.0
-1.2841697,28.0
-1.3059596,28.0
-1.3277496,28.0
-1.3495395,28.0
-1.3713294,28.0
-1.3931194,28.0
-1.4149094,28.0
-1.4366994,28.0
-1.4584894,28.0
-1.4802797,28.0
-1.4963276,28.0
-1.5006856,28.0
-1.5075661,28.0
-1.5171536,28.0
-1.5322782,28.0
-1.5505815,28.0
-1.537282,28.0
-1.5154923,28.0
-1.4641705,28.0
-1.4098544,28.0
-1.3444844,28.0
-1.2791143,28.0
-1.2137445,28.0
-1.1396586,28.0
-1.0524987,28.0
-0.9730499,28.0
-0.89983565,28.0
-0.82785189,28.0
-0.75638084,28.0
-0.67143585,28.0
-0.58427597,28.0
-0.49711607,28.0
-0.40995619,28.0
-0.32279632,28.0
-0.23425216,28.0
-0.14273432,28.0
-0.043013194,28.0
0.065936629,28.0
0.17488646,28.0
0.28383629,28.0
0.39278613,28.0
0.50173596,28.0
0.60582534,28.0
0.70638731,28.0
0.77175721,28.0
0.8371271,28.0
0.90249699,28.0
0.96786689,28.0
1.0332368,28.0
1.0976634,28.0
1.1612901,28.0
1.1958772,28.0
1.2176671,28.0
1.2269061,28.0
1.2338788,28.0
1.2269061,28.0
1.2176671,28.0
1.1958772,28.0
1.1548915,28.0
1.0703464,28.0
0.98460164,28.0
0.89744178,28.0
0.81348121,28.0
0.73155095,28.0
0.66228446,28.0
0.59691451,28.0
0.53154462,28.0
0.46697455,28.0
0.41293543,28.0
0.36123424,28.0
0.31765431,28.0
0.27407439,28.0
0.2304945,28.0
0.18691459,28.0
0.14333464,28.0
0.11283893,28.0
0.088434152,28.0
0.087326708,28.0
0.090813104,28.0
0.13392137,28.0
0.17528644,28.0
0.20317759,28.0
0.22696709,28.0
0.24091265,28.0
0.24862373,28.0
0.24862373,28.0
0.20940179,28.0
0.14403189,28.0
0.078661992,28.0
0.01329209,28.0
-0.074185651,28.0
-0.16765179,28.0
-0.32018155,28.0
-0.44299492,28.0
-0.4551973,28.0
-0.47184996,28.0
-0.49625473,28.0
-0.52832956,28.0
-0.56755151,28.0
-0.59508376,28.0
-0.6168737,28.0
-0.62359013,28.0
-0.62707652,28.0
-0.5965193,28.0
-0.56006597,28.0
-0.48946649,28.0
-0.40803867,28.0
-0.29908884,28.0
-0.19013901,28.0
-0.081189189,28.0
0.027760637,28.0
0.13671047,28.0
0.24436829,28.0
0.35157493,28.0
0.4213746,28.0
0.48534993,28.0
0.52108546,28.0
0.55263732,28.0
0.56745448,28.0
0.57704205,28.0
0.57704205,28.0
0.57704205,28.0
0.57704205,28.0
0.57704205,28.0
0.57704205,28.0
0.57704205,28.0
0.57704205,28.0
0.57704205,28.0
0.58155386,28.0
0.61990421,28.0
0.67499951,28.0
0.77523337,28.0
0.88727995,28.0
1.015405,28.0
1.0696697,28.0
1.0696697,28.0
1.1332451,28.0
1.2204049,28.0
1.3437104,28.0
1.4725736,28.0
1.6216169,28.0
1.7631132,28.0
1.8720632,28.0
1.970308,28.0
2.0478805,28.0
2.1116714,28.0
2.1613526,28.0
