ts,y
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.6272883,14.0
1.5967181,14.0
1.5315017,14.0
1.429488,14.0
1.3179635,14.0
1.1977209,14.0
1.0900885,14.0
0.99226402,14.0
0.91081439,14.0
0.83065267,14.0
0.75049096,14.0
0.67032922,14.0
0.59016745,14.0
0.51000569,14.0
0.42984392,14.0
0.34968214,14.0
0.27104889,14.0
0.19728422,14.0
0.15720338,14.0
0.11712255,14.0
0.077041726,14.0
0.036960814,14.0
0.0035317348,14.0
-0.00462032,14.0
-0.024448461,14.0
-0.052980593,14.0
-0.092339663,14.0
-0.13898745,14.0
-0.20080711,14.0
-0.27485482,14.0
-0.35501655,14.0
-0.4351783,14.0
-0.50619731,14.0
-0.56326162,14.0
-0.58313221,14.0
-0.59527535,14.0
-0.6353562,14.0
-0.67543708,14.0
-0.71551801,14.0
-0.75559886,14.0
-0.79567972,14.0
-0.83576065,14.0
-0.85563128,14.0
-0.86106598,14.0
-0.86134904,14.0
-0.86134904,14.0
-0.86134904,14.0
-0.87790785,14.0
-0.9021375,14.0
-0.92115892,14.0
-0.93962837,14.0
-0.95729111,14.0
-1.0032312,14.0
-1.059602,14.0
-1.1288944,14.0
-1.1873174,14.0
-1.234871,14.0
-1.310617,14.0
-1.3906231,14.0
-1.4701055,14.0
-1.5261932,14.0
-1.5662741,14.0
-1.606355,14.0
-1.6354674,14.0
-1.6415815,14.0
-1.6645091,14.0
-1.6955746,14.0
-1.7356555,14.0
-1.7658294,14.0
-1.7821335,14.0
-1.769778,14.0
-1.7465249,14.0
-1.706444,14.0
-1.6663631,14.0
-1.6262822,14.0
-1.5862013,14.0
-1.5461204,14.0
-1.5060396,14.0
-1.4639065,14.0
-1.4204289,14.0
-1.3414136,14.0
-1.2746122,14.0
-1.2345314,14.0
-1.220053,14.0
-1.2168687,14.0
-1.2168687,14.0
-1.2041028,14.0
-1.1742119,14.0
-1.1572284,14.0
-1.1457646,14.0
-1.1457646,14.0
-1.1355038,14.0
-1.1158031,14.0
