ts,y
0.96091507,2.0
0.92833172,2.0
0.89652801,2.0
0.86557131,2.0
0.83553624,2.0
0.80644318,2.0
0.77847165,2.0
0.75142073,2.0
0.72530698,2.0
0.70033514,2.0
0.67647187,2.0
0.65371695,2.0
0.63198693,2.0
0.6113948,2.0
0.59203903,2.0
0.57394962,2.0
0.55696462,2.0
0.54109729,2.0
0.52665082,2.0
0.51347055,2.0
0.46456283,2.0
0.40880449,2.0
0.39804582,2.0
0.38995961,2.0
0.38311875,2.0
0.35175354,2.0
0.29390598,2.0
0.28656571,2.0
0.28528438,2.0
0.25199108,2.0
0.18849724,2.0
0.13152806,2.0
0.12640621,2.0
0.13252929,2.0
0.14001551,2.0
0.14294035,2.0
0.09346345,2.0
0.089239901,2.0
0.07471343,2.0
0.037524667,2.0
0.051806678,2.0
0.019610165,2.0
0.013190557,2.0
0.018127107,2.0
-0.015659422,2.0
0.0059259221,2.0
-0.0066850969,2.0
-0.036103421,2.0
-0.05346741,2.0
-0.025508612,2.0
-0.035479682,2.0
-0.027668934,2.0
-0.00190655,2.0
-0.012317321,2.0
0.018797024,2.0
0.029068157,2.0
0.02225474,2.0
0.024796982,2.0
0.11204877,2.0
0.17173807,2.0
0.2194287,2.0
0.27515168,2.0
0.36460108,2.0
0.41631682,2.0
0.46044548,2.0
0.51748546,2.0
0.60654445,2.0
0.65610123,2.0
0.70211646,2.0
0.74869364,2.0
0.79587008,2.0
0.84361534,2.0
0.89196271,2.0
0.94078465,2.0
0.99006672,2.0
1.0370883,2.0
1.05411,2.0
1.0894176,2.0
1.1291656,2.0
1.1454738,2.0
1.1972952,2.0
1.2258842,2.0
1.221689,2.0
1.1972735,2.0
1.2172223,2.0
1.1943392,2.0
1.1942846,2.0
1.2074065,2.0
1.1784599,2.0
1.1504629,2.0
1.1233696,2.0
1.0971218,2.0
1.0718229,2.0
1.0475082,2.0
1.0242712,2.0
1.0019514,2.0
0.98056148,2.0
0.95643394,2.0
0.88597236,2.0
0.80524801,2.0
0.72504708,2.0
0.64536913,2.0
0.56654341,2.0
0.48834751,2.0
0.41085436,2.0
0.33630872,2.0
0.2719397,2.0
0.20840825,2.0
0.13810332,2.0
0.064703139,2.0
0.00014897651,2.0
-0.073703562,2.0
-0.14173234,2.0
-0.20568755,2.0
-0.27088563,2.0
-0.34469033,2.0
-0.41133778,2.0
-0.47547433,2.0
-0.53019975,2.0
-0.53565578,2.0
-0.48933735,2.0
-0.4273452,2.0
-0.36368022,2.0
-0.30232162,2.0
-0.23756108,2.0
-0.17270899,2.0
-0.10785511,2.0
-0.043175101,2.0
0.020736457,2.0
0.033590457,2.0
0.0691167,2.0
0.12296486,2.0
0.12800905,2.0
0.13456767,2.0
0.18320207,2.0
0.21348256,2.0
0.166585,2.0
0.17520698,2.0
0.14212216,2.0
0.094803183,2.0
0.046346857,2.0
-0.015770585,2.0
-0.077865963,2.0
-0.12797563,2.0
-0.17473189,2.0
-0.23543758,2.0
-0.29616109,2.0
-0.35666747,2.0
-0.41694768,2.0
-0.48108738,2.0
-0.56379899,2.0
-0.62890662,2.0
-0.70123771,2.0
-0.78523096,2.0
-0.86837243,2.0
-0.95062716,2.0
-1.0318349,2.0
-1.1119648,2.0
-1.1907985,2.0
-1.2671654,2.0
-1.2955213,2.0
-1.332329,2.0
-1.4024908,2.0
-1.4695393,2.0
-1.5327319,2.0
-1.5919279,2.0
-1.6297436,2.0
-1.6168422,2.0
-1.5990915,2.0
-1.5778366,2.0
-1.553465,2.0
-1.5258392,2.0
-1.4952366,2.0
-1.5035282,2.0
-1.5178364,2.0
-1.5348384,2.0
-1.5817472,2.0
-1.6267138,2.0
-1.6694159,2.0
-1.7097962,2.0
-1.7475911,2.0
-1.7814555,2.0
-1.8118478,2.0
-1.8384821,2.0
-1.8496893,2.0
-1.8065873,2.0
-1.8071408,2.0
-1.8132851,2.0
-1.798808,2.0
-1.7345268,2.0
-1.7195222,2.0
-1.6656523,2.0
-1.6100181,2.0
-1.5825987,2.0
-1.5043156,2.0
-1.4660576,2.0
-1.4389932,2.0
-1.4194874,2.0
-1.4437393,2.0
-1.4915827,2.0
-1.543854,2.0
-1.6078735,2.0
-1.6978,2.0
-1.7482701,2.0
-1.7964905,2.0
-1.8425326,2.0
-1.8859337,2.0
-1.9262112,2.0
-1.9621237,2.0
-1.9939387,2.0
-2.0212062,2.0
-2.0424271,2.0
-2.0570268,2.0
-2.0647951,2.0
-2.0661548,2.0
-2.0604154,2.0
-2.0474613,2.0
-2.0276281,2.0
-2.0024807,2.0
-1.9724561,2.0
-1.9371329,2.0
-1.8979683,2.0
-1.8278722,2.0
-1.7506857,2.0
-1.7055733,2.0
-1.6583576,2.0
-1.6094884,2.0
-1.559068,2.0
-1.507177,2.0
-1.4540272,2.0
-1.3996385,2.0
-1.3443837,2.0
-1.2948681,2.0
-1.2647823,2.0
-1.2101231,2.0
-1.1506082,2.0
-1.0907004,2.0
-1.0304075,2.0
-0.96974567,2.0
-0.90876906,2.0
-0.84754413,2.0
-0.78608931,2.0
-0.7243779,2.0
-0.66246395,2.0
-0.6003734,2.0
-0.53812536,2.0
-0.47573029,2.0
-0.41316326,2.0
-0.35047795,2.0
-0.28768283,2.0
-0.22477621,2.0
-0.16176895,2.0
-0.09865605,2.0
-0.035464207,2.0
0.027802339,2.0
0.090222203,2.0
0.14306459,2.0
0.19559088,2.0
0.24990183,2.0
0.30603238,2.0
0.36414275,2.0
0.42387635,2.0
0.48503561,2.0
0.53650058,2.0
0.53706911,2.0
0.53762859,2.0
0.57567843,2.0
0.62571136,2.0
0.63055054,2.0
0.63622537,2.0
0.64313013,2.0
0.675559,2.0
0.73877452,2.0
0.753836,2.0
0.81577727,2.0
0.89187548,2.0
0.96330988,2.0
1.0143551,2.0
1.066936,2.0
1.121019,2.0
1.1764253,2.0
1.2295696,2.0
1.2262748,2.0
1.2671251,2.0
1.2996459,2.0
1.2964412,2.0
1.2943272,2.0
1.2934096,2.0
1.2934746,2.0
1.2945154,2.0
1.296662,2.0
1.2999706,2.0
1.3043263,2.0
1.3096472,2.0
1.3160304,2.0
1.3234721,2.0
1.3320623,2.0
1.3415969,2.0
1.3640858,2.0
1.43094,2.0
1.4019147,2.0
1.3899638,2.0
1.4045138,2.0
1.4199514,2.0
1.436628,2.0
1.4541693,2.0
1.4725925,2.0
1.4919328,2.0
1.5121923,2.0
1.5334865,2.0
1.5232219,2.0
1.4799546,2.0
1.4196273,2.0
1.35945,2.0
1.3161026,2.0
1.2826412,2.0
1.2472633,2.0
1.1906579,2.0
1.1106332,2.0
1.0372749,2.0
0.97884931,2.0
0.92067798,2.0
0.86274042,2.0
0.80504795,2.0
0.74759675,2.0
0.69038313,2.0
0.63354619,2.0
0.57697978,2.0
0.52070997,2.0
0.46477153,2.0
0.40917934,2.0
0.35401448,2.0
0.29921217,2.0
0.24478784,2.0
0.19357875,2.0
0.17282149,2.0
0.13419389,2.0
0.082654088,2.0
0.036367234,2.0
0.025562096,2.0
-0.01290896,2.0
-0.060857074,2.0
-0.10812544,2.0
-0.15449271,2.0
-0.20001085,2.0
-0.24466134,2.0
-0.28844119,2.0
-0.33131619,2.0
-0.37289503,2.0
-0.41344473,2.0
-0.45291627,2.0
-0.49116318,2.0
-0.52814504,2.0
-0.51885193,2.0
-0.52521578,2.0
-0.55683671,2.0
-0.58673585,2.0
-0.6150047,2.0
-0.64155672,2.0
-0.66650212,2.0
-0.68966765,2.0
-0.71071286,2.0
-0.72977029,2.0
-0.7469696,2.0
-0.76224213,2.0
-0.77322258,2.0
-0.73075118,2.0
-0.71100191,2.0
-0.71723537,2.0
-0.71866251,2.0
-0.65993763,2.0
-0.6384918,2.0
-0.61133902,2.0
-0.55269525,2.0
-0.54165016,2.0
-0.48232379,2.0
-0.44014667,2.0
-0.41571257,2.0
-0.34349568,2.0
-0.31820146,2.0
-0.2634228,2.0
-0.20338103,2.0
-0.18038011,2.0
-0.10144603,2.0
-0.06238713,2.0
-0.039503514,2.0
-0.0048996917,2.0
