ts,y
1.9822955,1.0
3.4956068,1.0
3.1081047,1.0
2.9702011,1.0
2.5463235,1.0
2.4592055,1.0
2.1733005,1.0
1.9541655,1.0
1.3549716,1.0
1.2976965,1.0
0.9832385,1.0
0.77695539,1.0
0.098926953,1.0
-0.5066285,1.0
1.5279592,1.0
1.4894561,1.0
1.3467299,1.0
1.2312524,1.0
1.0021258,1.0
0.71870855,1.0
0.4821345,1.0
0.13885372,1.0
-0.33235267,1.0
-0.65793282,1.0
-0.8736027,1.0
-0.75131932,1.0
1.9997371,1.0
1.6976963,1.0
1.5681159,1.0
1.0839054,1.0
0.56184293,1.0
-0.028273129,1.0
-0.37601096,1.0
-0.67812453,1.0
-0.7914408,1.0
-0.80600023,1.0
-0.75559051,1.0
-0.94630154,1.0
1.1798436,1.0
1.4795502,1.0
0.91182128,1.0
1.0848817,1.0
0.50514718,1.0
-0.22955067,1.0
-0.37004497,1.0
-0.8544867,1.0
-0.56310883,1.0
-0.71116029,1.0
-0.84798571,1.0
-0.79107156,1.0
0.26953759,1.0
1.392202,1.0
1.0934997,1.0
0.72696038,1.0
-0.24668227,1.0
-0.79441231,1.0
-0.86736764,1.0
-0.85110262,1.0
-0.87049592,1.0
-0.84898239,1.0
-0.89156703,1.0
-0.79676554,1.0
-0.82947455,1.0
1.2566342,1.0
0.71404475,1.0
0.48504036,1.0
-0.10758223,1.0
-0.6835465,1.0
-0.74587218,1.0
-0.87132029,1.0
-0.9273463,1.0
-0.84113501,1.0
-0.8765424,1.0
0.25838281,1.0
-0.15589777,1.0
-0.24135025,1.0
-0.63271538,1.0
-0.8110927,1.0
0.29876541,1.0
-0.43172589,1.0
-0.71366763,1.0
-0.82046958,1.0
1.4291053,1.0
1.3074787,1.0
0.98497346,1.0
0.90585896,1.0
0.027720357,1.0
-0.26040876,1.0
-0.4421232,1.0
-0.59050513,1.0
-0.74141882,1.0
-0.83173117,1.0
-0.88195696,1.0
-0.8899824,1.0
-0.81484464,1.0
1.2018935,1.0
0.52318376,1.0
-0.089643106,1.0
-0.9198645,1.0
-0.82966035,1.0
-0.84330505,1.0
-0.85374059,1.0
0.89849936,1.0
0.25436326,1.0
-0.30459828,1.0
0.63276301,1.0
-0.07021161,1.0
-0.42840684,1.0
-0.86418716,1.0
-0.91487014,1.0
-0.8722179,1.0
-0.95469893,1.0
0.49523436,1.0
-0.38916582,1.0
-0.46357568,1.0
-0.78347751,1.0
-0.9875577,1.0
-1.0025173,1.0
-0.3548307,1.0
-0.55900841,1.0
-0.59604578,1.0
-0.9112186,1.0
-1.0008075,1.0
-0.94406782,1.0
-0.90981709,1.0
