ts,y
0.32943226,67.0
0.82688593,67.0
0.67898406,67.0
0.80980341,67.0
0.9325037,67.0
1.0470314,67.0
0.73210938,67.0
0.54484807,67.0
0.51636413,67.0
0.37234239,67.0
0.36832846,67.0
0.36085112,67.0
0.34519087,67.0
0.18942618,67.0
0.33727443,67.0
0.21607537,67.0
0.41515887,67.0
0.79923155,67.0
1.5416342,67.0
1.8122027,67.0
1.777677,67.0
1.4479344,67.0
1.0148295,67.0
0.54042608,67.0
-0.17142081,67.0
-0.91063191,67.0
-1.2899055,67.0
-1.6377909,67.0
-1.9220715,67.0
-2.3142752,67.0
-2.5554396,67.0
-2.3192898,67.0
-2.2604805,67.0
-2.3157964,67.0
-2.1133353,67.0
-1.8130415,67.0
-1.5156784,67.0
-1.2569792,67.0
-1.1792228,67.0
-1.0563725,67.0
-0.64604812,67.0
-0.63520852,67.0
-0.53008908,67.0
-0.46382326,67.0
-0.6143983,67.0
-0.40350797,67.0
2.4953919,67.0
1.948356,67.0
1.3124333,67.0
0.68519207,67.0
1.4595807,67.0
1.5063706,67.0
0.60548563,67.0
0.6786189,67.0
0.62751896,67.0
0.54178248,67.0
0.59867625,67.0
0.57647506,67.0
0.47682895,67.0
0.59869362,67.0
0.40241105,67.0
0.53796365,67.0
0.22680981,67.0
0.19937499,67.0
0.42760617,67.0
0.29369543,67.0
0.34706022,67.0
0.38312831,67.0
0.45582462,67.0
0.18977183,67.0
0.15729118,67.0
0.073008416,67.0
0.16347675,67.0
0.022043163,67.0
0.20011891,67.0
0.23296488,67.0
0.3128729,67.0
0.44130718,67.0
0.21392735,67.0
0.26411822,67.0
0.53520297,67.0
0.54318392,67.0
0.52614814,67.0
0.46440863,67.0
0.39698395,67.0
0.40190211,67.0
0.041289579,67.0
-0.56667328,67.0
-1.2366583,67.0
-1.2077326,67.0
-1.2761355,67.0
-1.4753624,67.0
-1.9456969,67.0
-2.0482673,67.0
-1.8376082,67.0
-2.0901208,67.0
-2.2966268,67.0
-2.1392316,67.0
-2.2646343,67.0
-2.5420172,67.0
-2.0597834,67.0
-1.9041273,67.0
-2.1645627,67.0
-1.927441,67.0
-1.5860415,67.0
-1.3685804,67.0
-1.2240989,67.0
-1.1324458,67.0
-1.0969591,67.0
-1.1025688,67.0
-1.0783011,67.0
-1.028418,67.0
-1.115273,67.0
-1.0045132,67.0
-0.92704349,67.0
-1.1346129,67.0
-0.75510994,67.0
-0.62852109,67.0
-0.72153992,67.0
-0.81174416,67.0
-1.0219398,67.0
-1.2616529,67.0
-1.3798865,67.0
-1.4597786,67.0
-1.5275234,67.0
-1.4321699,67.0
-1.3925789,67.0
-1.2738202,67.0
-1.2909422,67.0
-1.1698036,67.0
-1.2985238,67.0
-1.207041,67.0
-1.2174569,67.0
-1.1699928,67.0
-1.0652486,67.0
-1.0975473,67.0
-1.0804256,67.0
-1.0677846,67.0
-0.973968,67.0
-0.95843752,67.0
-0.94217713,67.0
-0.92943718,67.0
-0.80738489,67.0
-0.85571948,67.0
-0.87432918,67.0
-0.82117531,67.0
-0.78913363,67.0
-0.76573549,67.0
-0.67521638,67.0
-0.63563861,67.0
-0.59975872,67.0
-0.51871044,67.0
-0.60912831,67.0
-0.59290792,67.0
-0.61055048,67.0
-0.5730974,67.0
-0.5531528,67.0
-0.6048665,67.0
-0.62428008,67.0
-0.52399307,67.0
-0.51453729,67.0
-0.50772092,67.0
-0.3742091,67.0
-0.37400775,67.0
-0.41260579,67.0
-0.50009942,67.0
-0.49186584,67.0
-0.49087939,67.0
-0.48832256,67.0
-0.47129357,67.0
-0.45525345,67.0
-0.40451752,67.0
-0.37778047,67.0
-0.37073156,67.0
-0.35224836,67.0
-0.31966513,67.0
-0.31191527,67.0
-0.26367455,67.0
-0.20084002,67.0
-0.19129767,67.0
-0.20022265,67.0
-0.16039501,67.0
-0.13135594,67.0
-0.079460888,67.0
-0.076272545,67.0
-0.17848935,67.0
-0.28437652,67.0
-0.29461521,67.0
-0.1375922,67.0
-0.08486555,67.0
-0.067481525,67.0
-0.025262044,67.0
-0.030380313,67.0
0.13566362,67.0
0.10067066,67.0
-0.044356474,67.0
0.02702149,67.0
0.031360669,67.0
0.012980365,67.0
-0.012328643,67.0
-0.026212594,67.0
-0.0098490884,67.0
0.0071376249,67.0
0.022269225,67.0
0.31938112,67.0
0.34492339,67.0
0.21774781,67.0
0.27739262,67.0
0.32745474,67.0
0.22749735,67.0
0.41366457,67.0
0.4180413,67.0
0.44085856,67.0
0.48144984,67.0
0.52131796,67.0
0.53859092,67.0
0.54742011,67.0
0.55998093,67.0
0.54936112,67.0
0.55823924,67.0
0.59733837,67.0
0.64914602,67.0
0.62113659,67.0
0.62945836,67.0
0.58278391,67.0
0.55624627,67.0
0.72495986,67.0
0.7775863,67.0
0.73170698,67.0
0.73852749,67.0
0.80372856,67.0
0.84442963,67.0
0.67452718,67.0
0.64984135,67.0
0.82630797,67.0
0.85938041,67.0
0.86224848,67.0
0.88202209,67.0
0.90824626,67.0
0.92398746,67.0
0.93759,67.0
0.91010626,67.0
0.71430162,67.0
0.93991376,67.0
1.0027395,67.0
1.0619995,67.0
1.0731009,67.0
1.0929008,67.0
1.0765787,67.0
1.0422068,67.0
0.91053328,67.0
0.92201346,67.0
0.91696873,67.0
0.93587475,67.0
0.94932058,67.0
1.1194491,67.0
1.3134286,67.0
1.3042827,67.0
1.1189766,67.0
1.1356031,67.0
1.1438812,67.0
1.1372481,67.0
1.1316337,67.0
0.93397964,67.0
1.0751077,67.0
1.1490564,67.0
1.1484622,67.0
1.3467588,67.0
1.3486222,67.0
1.1512503,67.0
0.96334566,67.0
0.97205543,67.0
0.79708361,67.0
0.80051357,67.0
0.80186165,67.0
0.99694323,67.0
0.99626446,67.0
1.1697689,67.0
1.3422493,67.0
1.1615999,67.0
1.1959456,67.0
0.97833771,67.0
0.98506245,67.0
0.86030995,67.0
0.87430714,67.0
0.99190283,67.0
0.99527191,67.0
1.1018979,67.0
1.2741288,67.0
1.3644924,67.0
1.3559728,67.0
1.1621066,67.0
1.1084132,67.0
1.1050788,67.0
0.97937597,67.0
0.98083553,67.0
0.98650376,67.0
0.97854826,67.0
0.82676737,67.0
0.99644311,67.0
1.1985527,75.0
1.0144368,75.0
1.0267997,75.0
0.99838824,75.0
0.94580176,75.0
0.90476691,75.0
0.76711329,75.0
0.61156082,75.0
0.97306931,75.0
0.72571044,75.0
0.52615099,75.0
0.57660923,75.0
0.60216886,75.0
0.43626389,75.0
0.33550697,75.0
0.23744491,75.0
0.12980595,75.0
0.14924008,75.0
0.42022482,75.0
0.92615494,75.0
1.1196108,75.0
1.1647931,75.0
1.3214499,75.0
1.0086037,75.0
0.41822988,75.0
-0.32721002,75.0
-0.91487486,75.0
-1.1902393,75.0
-1.8651515,75.0
-2.4565913,75.0
-2.3950348,75.0
-2.4096708,75.0
-2.4153643,75.0
-2.4861049,75.0
-2.1245044,75.0
-1.4592091,75.0
-1.2073134,75.0
-1.2204346,75.0
-1.0563762,75.0
-0.63629262,75.0
-0.31166853,75.0
-0.021384106,75.0
0.0033977299,75.0
0.63801844,75.0
1.0838761,75.0
1.1578408,75.0
1.1441016,75.0
2.2650614,75.0
0.73138812,75.0
-1.1305481,75.0
2.0707504,75.0
0.16461106,75.0
0.2702301,75.0
0.17595971,75.0
0.011900634,75.0
0.16142296,75.0
0.14069681,75.0
0.0015962275,75.0
0.035107446,75.0
0.060883438,75.0
-0.016769117,75.0
0.051925203,75.0
-0.072978486,75.0
-0.19353393,75.0
-0.11636311,75.0
-0.10876568,75.0
-0.20074419,75.0
-0.18150749,75.0
-0.10914473,75.0
-0.22929245,75.0
-0.23050496,75.0
-0.32981263,75.0
-0.25716108,75.0
-0.26831086,75.0
-0.33606609,75.0
-0.34676137,75.0
-0.24643047,75.0
-0.30679954,75.0
-0.29866519,75.0
-0.27590925,75.0
-0.26169333,75.0
-0.22466977,75.0
-0.10757966,75.0
-0.060387465,75.0
0.33190783,75.0
0.51091699,75.0
0.76427849,75.0
0.19765154,75.0
-0.068654651,75.0
-0.4706482,75.0
-0.94609042,75.0
-1.3206561,75.0
-1.885538,75.0
-2.1775891,75.0
-1.791571,75.0
-2.374092,75.0
-2.4715175,75.0
-2.2259104,75.0
-2.3178238,75.0
-2.3870635,75.0
-2.4207461,75.0
-2.6187814,75.0
-2.7489221,75.0
-2.680393,75.0
-3.0013151,75.0
-2.6734068,75.0
-2.2427189,75.0
-2.4082706,75.0
-1.8540468,75.0
-1.9625632,75.0
-1.7322285,75.0
-1.185457,75.0
-1.070785,75.0
-1.0701337,75.0
-1.0439337,75.0
-1.1353565,75.0
-1.0023754,75.0
-0.78400015,75.0
-0.56547476,75.0
-0.4997865,75.0
-0.60347589,75.0
-0.67342192,75.0
-0.67242274,75.0
-0.63335069,75.0
-0.63611176,75.0
-0.86357947,75.0
-0.96076569,75.0
-0.97006121,75.0
-0.94365266,75.0
-1.0021362,75.0
-1.1076607,75.0
-1.1328443,75.0
-1.1317073,75.0
-1.133622,75.0
-1.0323162,75.0
-0.97999238,75.0
-0.96629644,75.0
-0.93993437,75.0
-0.73346947,75.0
-0.72776165,75.0
-0.71000931,75.0
-0.63558308,75.0
-0.58026058,75.0
-0.57377826,75.0
-0.59410863,75.0
-0.53387387,75.0
-0.50041875,75.0
-0.47914494,75.0
-0.46311762,75.0
-0.49397468,75.0
-0.46300048,75.0
-0.51901494,75.0
-0.47317998,75.0
-0.4617781,75.0
-0.46163146,75.0
-0.42596636,75.0
-0.33804123,75.0
-0.33786455,75.0
-0.34889593,75.0
-0.3173538,75.0
-0.30848768,75.0
-0.31421578,75.0
-0.34003181,75.0
-0.33401083,75.0
-0.36082934,75.0
-0.3856723,75.0
-0.37889248,75.0
-0.36061784,75.0
-0.3589052,75.0
-0.28266448,75.0
-0.3267777,75.0
-0.28215485,75.0
-0.25635732,75.0
-0.33298546,75.0
-0.17528613,75.0
-0.14634381,75.0
-0.138233,75.0
-0.18647546,75.0
-0.13933892,75.0
-0.12750888,75.0
-0.036379324,75.0
-0.0032092575,75.0
0.025750574,75.0
0.016798527,75.0
0.019438909,75.0
0.016425122,75.0
-0.029565368,75.0
-0.039184349,75.0
0.010604121,75.0
0.15787001,75.0
0.074902781,75.0
0.086618064,75.0
0.10755055,75.0
0.26333863,75.0
0.23567649,75.0
0.19592723,75.0
0.22205782,75.0
0.26706152,75.0
0.21236067,75.0
0.22863852,75.0
0.21297293,75.0
0.22834602,75.0
0.2443046,75.0
0.25852034,75.0
0.30520674,75.0
0.44741885,75.0
0.32255612,75.0
0.25203953,75.0
0.44431024,75.0
0.58051222,75.0
0.64062256,75.0
0.65090464,75.0
0.62829876,75.0
0.54961762,75.0
0.58473877,75.0
0.59995841,75.0
0.60727906,75.0
0.61936268,75.0
0.61050906,75.0
0.61838968,75.0
0.93972681,75.0
0.6953756,75.0
0.82114066,75.0
0.82895875,75.0
0.94253453,75.0
0.7601779,75.0
0.76522695,75.0
0.81034679,75.0
0.7714755,75.0
0.77707816,75.0
0.83143677,75.0
0.86539342,75.0
0.86112224,75.0
0.84810804,75.0
0.87230227,75.0
1.0223188,75.0
0.88074376,75.0
0.89764,75.0
0.92004599,75.0
0.93458971,75.0
0.94686663,75.0
0.92656666,75.0
0.90866679,75.0
1.0791509,75.0
0.94075778,75.0
0.90711345,75.0
0.91731813,75.0
0.93309094,75.0
1.0880823,75.0
0.91740744,75.0
0.92332107,75.0
0.93390419,75.0
0.94069606,75.0
1.0570758,75.0
0.95961037,75.0
0.96235269,75.0
0.96190066,75.0
1.1282283,75.0
1.0497494,75.0
1.1403418,75.0
1.066508,75.0
1.1413684,75.0
1.1359551,75.0
1.1511942,75.0
1.1563959,75.0
0.98031501,75.0
0.98154066,75.0
0.98697538,75.0
0.99005848,75.0
0.97876161,75.0
0.9685794,75.0
0.97650232,75.0
0.98643831,75.0
0.98966068,75.0
0.99092715,75.0
0.99844486,75.0
0.99777613,75.0
0.99624281,75.0
0.9833268,75.0
0.98901999,75.0
0.99513304,75.0
0.98207646,75.0
0.98842072,75.0
0.8312422,75.0
1.0034069,75.0
0.99457819,75.0
0.99762081,75.0
1.0062042,75.0
1.0075244,75.0
0.83583892,75.0
0.99559899,75.0
0.98994357,75.0
0.99466731,75.0
0.98462278,75.0
0.98435578,75.0
0.9857501,75.0
0.99054026,75.0
1.003497,75.0
1.0011275,75.0
1.0004271,75.0
0.010082542,107.0
-0.26463543,107.0
-0.29375873,107.0
-0.3128453,107.0
-0.29915558,107.0
-0.26995342,107.0
-0.21445512,107.0
-0.22318356,107.0
-0.2638331,107.0
-0.26044969,107.0
-0.24498611,107.0
-0.26516592,107.0
-0.25119938,107.0
-0.25365216,107.0
-0.25050892,107.0
-0.25447106,107.0
-0.26765004,107.0
-0.2837314,107.0
-0.26953266,107.0
