ts,y
0.24,0.0
0.257,0.0
0.274,0.0
0.257,0.0
0.277,0.0
0.297,0.0
0.317,0.0
0.29325,0.0
0.2695,0.0
0.24575,0.0
0.222,0.0
0.19,0.0
0.229,0.0
0.246,0.0
0.28,0.0
0.334,0.0
0.388,0.0
0.458,0.0
0.528,0.0
0.615,0.0
0.717,0.0
0.727,0.0
0.753,0.0
0.725,0.0
0.743,0.0
0.761,0.0
0.77233,0.0
0.78367,0.0
0.795,0.0
0.771,0.0
0.749,0.0
0.705,0.0
0.702,0.0
0.642,0.0
0.5415,0.0
0.441,0.0
0.41475,0.0
0.3885,0.0
0.36225,0.0
0.336,0.0
0.324,0.0
0.312,0.0
0.331,0.0
0.35,0.0
0.333,0.0
0.316,0.0
0.219,1.0
0.209,1.0
0.199,1.0
0.21567,1.0
0.23233,1.0
0.249,1.0
0.237,1.0
0.185,1.0
0.203,1.0
0.221,1.0
0.239,1.0
0.251,1.0
0.423,1.0
0.463,1.0
0.55,1.0
0.6535,1.0
0.757,1.0
0.79,1.0
0.83,1.0
0.828,1.0
0.818,1.0
0.802,1.0
0.815,1.0
0.809,1.0
0.803,1.0
0.797,1.0
0.80033,1.0
0.80367,1.0
0.807,1.0
0.792,1.0
0.749,1.0
0.713,1.0
0.677,1.0
0.612,1.0
0.494,1.0
0.376,1.0
0.369,1.0
0.362,1.0
0.355,1.0
0.348,1.0
0.405,1.0
0.351,1.0
0.295,1.0
0.239,1.0
0.218,1.0
0.197,1.0
0.281,2.0
0.24,2.0
0.199,2.0
0.2,2.0
0.234,2.0
0.268,2.0
0.264,2.0
0.322,2.0
0.29933,2.0
0.27667,2.0
0.254,2.0
0.214,2.0
0.262,2.0
0.299,2.0
0.34,2.0
0.463,2.0
0.586,2.0
0.683,2.0
0.763,2.0
0.753,2.0
0.801,2.0
0.778,2.0
0.799,2.0
0.78,2.0
0.779,2.0
0.778,2.0
0.793,2.0
0.816,2.0
0.814,2.0
0.782,2.0
0.745,2.0
0.7,2.0
0.625,2.0
0.569,2.0
0.4435,2.0
0.318,2.0
0.323,2.0
0.328,2.0
0.333,2.0
0.259,2.0
