ts,y
1.5541114,1.0
1.5468377,1.0
1.543311,1.0
1.5505848,1.0
1.5286983,1.0
1.479367,1.0
1.431406,1.0
1.383905,1.0
1.3382233,1.0
1.2931124,1.0
1.2494133,1.0
1.1985396,1.0
1.141687,1.0
1.0849066,1.0
1.0281498,1.0
0.97148385,1.0
0.91485106,1.0
0.85828934,1.0
0.80179239,1.0
0.74534318,1.0
0.68899536,1.0
0.63267981,1.0
0.57648413,1.0
0.52033832,1.0
0.46428579,1.0
0.40832765,1.0
0.35243086,1.0
0.29668075,1.0
0.24339611,1.0
0.20781812,1.0
0.16499252,1.0
0.11028083,1.0
0.055735154,1.0
0.0012843479,1.0
-0.05291023,1.0
-0.10702657,1.0
-0.16087505,1.0
-0.20421507,1.0
-0.23237621,1.0
-0.27658253,1.0
-0.32881144,1.0
-0.38059281,1.0
-0.43223981,1.0
-0.48344726,1.0
-0.52073686,1.0
-0.5402692,1.0
-0.58019561,1.0
-0.628989,1.0
-0.67700614,1.0
-0.71705897,1.0
-0.7276674,1.0
-0.75429486,1.0
-0.79900833,1.0
-0.84285098,1.0
-0.88636708,1.0
-0.92857135,1.0
-0.95981182,1.0
-0.9568535,1.0
-0.97414298,1.0
-1.0116803,1.0
-1.0478063,1.0
-1.0834498,1.0
-1.1170729,1.0
-1.1500815,1.0
-1.1814516,1.0
-1.1838799,1.0
-1.1606742,1.0
-1.1753569,1.0
-1.2001122,1.0
-1.2221774,1.0
-1.2433312,1.0
-1.2623885,1.0
-1.2796599,1.0
-1.2955315,1.0
-1.3086666,1.0
-1.3209302,1.0
-1.3299796,1.0
-1.3378364,1.0
-1.3433079,1.0
-1.3466281,1.0
-1.348459,1.0
-1.347183,1.0
-1.3449659,1.0
-1.3394944,1.0
-1.3327219,1.0
-1.3236724,1.0
-1.3124627,1.0
-1.2999357,1.0
-1.2844695,1.0
-1.2681635,1.0
-1.2491061,1.0
-1.2288638,1.0
-1.2067986,1.0
-1.1828973,1.0
-1.1580139,1.0
-1.1307462,1.0
-1.1028356,1.0
-1.0729023,1.0
-1.0420204,1.0
-1.0098514,1.0
-1.0078975,1.0
-1.0200441,1.0
-0.98551791,1.0
-0.94764805,1.0
-0.90842228,1.0
-0.86850162,1.0
-0.82774708,1.0
-0.81404815,1.0
-0.8112866,1.0
-0.7678444,1.0
-0.72288609,1.0
-0.67709535,1.0
-0.63083412,1.0
-0.58407301,1.0
-0.56101823,1.0
-0.5461881,1.0
-0.49666367,1.0
-0.44696961,1.0
-0.39678661,1.0
-0.36072183,1.0
-0.33794478,1.0
-0.29240948,1.0
-0.2401673,1.0
-0.18750081,1.0
-0.1347202,1.0
-0.081657297,1.0
-0.028398031,1.0
0.02502487,1.0
0.060820776,1.0
0.093701527,1.0
0.14841322,1.0
0.20320066,1.0
0.25815039,1.0
0.31322546,1.0
0.36839289,1.0
0.4237266,1.0
0.47911023,1.0
0.53466049,1.0
0.59026955,1.0
0.64598853,1.0
0.70180182,1.0
0.75767642,1.0
0.8136752,1.0
0.86776918,1.0
0.90791124,1.0
0.95431235,1.0
1.0109783,1.0
1.0677058,1.0
1.1244685,1.0
1.1691981,1.0
1.2128096,1.0
1.2581549,1.0
1.3042906,1.0
1.3515679,1.0
1.4000614,1.0
1.4491631,1.0
1.4998554,1.0
1.5403527,1.0
1.5343863,1.0
1.5547088,1.0
1.6085723,1.0
1.6226274,1.0
1.6193745,1.0
1.6173618,1.0
1.6156843,1.0
1.6150328,1.0
1.6149933,1.0
1.6156448,1.0
1.6172434,1.0
1.619197,1.0
1.5648032,1.0
1.5240663,1.0
1.5287164,1.0
1.5048933,1.0
1.4525969,1.0
1.4455555,1.0
1.452139,1.0
1.4030373,1.0
1.3544332,1.0
1.3071559,1.0
1.2609031,1.0
1.2155578,1.0
1.1608876,1.0
1.1043567,1.0
1.0614729,1.0
1.0144126,1.0
0.95774665,1.0
0.91034409,1.0
0.87020203,1.0
0.81707025,1.0
0.76106276,1.0
0.70518816,1.0
0.64936544,1.0
0.59364646,1.0
0.53802718,1.0
0.48247691,1.0
0.42708217,1.0
0.37173637,1.0
0.31656894,1.0
0.26148067,1.0
0.20653094,1.0
0.15172908,1.0
0.097017388,1.0
0.062728188,1.0
0.028262621,1.0
-0.025160279,1.0
-0.078441363,1.0
-0.13150427,1.0
-0.1843089,1.0
-0.2369754,1.0
-0.28924409,1.0
-0.33656435,1.0
-0.3593414,1.0
-0.39374522,1.0
-0.44392821,1.0
-0.49366219,1.0
-0.54318661,1.0
-0.59202431,1.0
-0.63372767,1.0
-0.64652553,1.0
-0.67432015,1.0
-0.7201109,1.0
-0.76513449,1.0
-0.80984796,1.0
-0.85340034,1.0
-0.88702641,1.0
-0.88702641,1.0
-0.90604496,1.0
-0.94527073,1.0
-0.98324293,1.0
-1.0207802,1.0
-1.0086336,1.0
-1.0079017,1.0
-1.0400708,1.0
-1.0710881,1.0
-1.1010214,1.0
-1.1290792,1.0
-1.1548699,1.0
-1.1257676,1.0
-1.1110709,1.0
-1.1320088,1.0
-1.1513694,1.0
-1.1694156,1.0
-1.1850168,1.0
-1.1998256,1.0
-1.2116472,1.0
-1.2224211,1.0
-1.2309503,1.0
-1.2038242,1.0
-1.1504258,1.0
-1.1428826,1.0
-1.1442144,1.0
-1.1425866,1.0
-1.1398295,1.0
-1.134961,1.0
-1.1281553,1.0
-1.1200904,1.0
-1.1093267,1.0
-1.0977697,1.0
-1.0835507,1.0
-1.0682283,1.0
-1.0510962,1.0
-1.066844,1.0
-1.1013803,1.0
-1.0838883,1.0
-1.0598362,1.0
-1.033616,1.0
-1.0064214,1.0
-0.97781963,1.0
-0.98027284,1.0
-0.99825356,1.0
-0.9679873,1.0
-0.93342499,1.0
-0.89732644,1.0
-0.86047453,1.0
-0.82266143,1.0
-0.81312763,1.0
-0.81588919,1.0
-0.77579208,1.0
-0.73338852,1.0
-0.68999858,1.0
-0.66335433,1.0
-0.65561649,1.0
-0.61949809,1.0
-0.57273698,1.0
-0.52511384,1.0
-0.48497277,1.0
-0.46825461,1.0
-0.43480403,1.0
-0.38462104,1.0
-0.3339876,1.0
-0.28320188,1.0
-0.23188631,1.0
-0.18043768,1.0
-0.12863423,1.0
-0.09006963,1.0
-0.063230866,1.0
-0.015447025,1.0
0.037990771,1.0
0.091741373,1.0
0.14558258,1.0
0.19963217,1.0
0.25383504,1.0
0.30815804,1.0
0.36268604,1.0
0.41727702,1.0
0.47208066,1.0
0.52052242,1.0
0.55624042,1.0
0.60377718,1.0
0.65949617,1.0
0.71534718,1.0
0.77123702,1.0
0.82725541,1.0
0.88332221,1.0
0.93947372,1.0
0.99570192,1.0
1.0519769,1.0
1.1083526,1.0
1.1627265,1.0
1.2043336,1.0
1.2467649,1.0
1.290464,1.0
1.3354547,1.0
1.3811364,1.0
1.4285237,1.0
1.4763772,1.0
1.5257086,1.0
1.5510256,1.0
1.5437519,1.0
1.5373695,1.0
1.531403,1.0
1.5266732,1.0
1.5222838,1.0
1.5189572,1.0
1.5162345,1.0
1.5142365,1.0
1.5131868,1.0
1.5125204,1.0
1.5131464,1.0
1.5141154,1.0
1.5161134,1.0
1.5187556,1.0
1.5220822,1.0
1.5220822,1.0
1.5154084,3.0
1.5093099,3.0
1.5070787,3.0
1.5131772,3.0
1.4816034,3.0
1.4282955,3.0
1.4342151,3.0
1.4273587,3.0
1.3773752,3.0
1.3636075,3.0
1.3754929,3.0
1.3347415,3.0
1.2854141,3.0
1.2258267,3.0
1.1746329,3.0
1.1306882,3.0
1.0738521,3.0
1.0148251,3.0
0.95589054,3.0
0.90588801,3.0
0.86526408,3.0
0.81047213,3.0
0.75226521,3.0
0.69420021,3.0
0.63621175,3.0
0.5783211,3.0
0.52057292,3.0
0.46288563,3.0
0.40538741,3.0
0.34797554,3.0
0.2906986,3.0
0.23359174,3.0
0.17656165,3.0
0.11978703,3.0
0.071640918,3.0
0.040135503,3.0
-0.0071133504,3.0
-0.062525467,3.0
-0.11756172,3.0
-0.17246504,3.0
-0.22706981,3.0
-0.28139201,3.0
-0.33553337,3.0
-0.36044949,3.0
-0.39023639,3.0
-0.4422752,3.0
-0.4939336,3.0
-0.54529428,3.0
-0.59599821,3.0
-0.63919507,3.0
-0.65180151,3.0
-0.6823344,3.0
-0.72994008,3.0
-0.77665592,3.0
-0.81677492,3.0
-0.81948108,3.0
-0.84069408,3.0
-0.88333606,3.0
-0.92481631,3.0
-0.96581042,3.0
-1.00533,3.0
-1.0235554,3.0
-1.0117182,3.0
-1.0336664,3.0
-1.0678984,3.0
-1.1001003,3.0
-1.1314573,3.0
-1.1613499,3.0
-1.1514754,3.0
-1.1231377,3.0
-1.1467054,3.0
-1.1693992,3.0
-1.1902108,3.0
-1.2091793,3.0
-1.2270846,3.0
-1.2420938,3.0
-1.2561051,3.0
-1.2677999,3.0
-1.277583,3.0
-1.2860119,3.0
-1.291426,3.0
-1.2957707,3.0
-1.297472,3.0
-1.2973475,3.0
-1.2956462,3.0
-1.2910537,3.0
-1.2853951,3.0
-1.2769662,3.0
