ts,y
-0.11252183,0.0
-2.8272038,0.0
-3.7738969,0.0
-4.3497511,0.0
-4.376041,0.0
-3.4749863,0.0
-2.1814082,0.0
-1.8182865,0.0
-1.2505219,0.0
-0.47749208,0.0
-0.36380791,0.0
-0.49195659,0.0
-0.42185509,0.0
-0.30920086,0.0
-0.4959387,0.0
-0.34211867,0.0
-0.35533627,0.0
-0.36791303,0.0
-0.31650279,0.0
-0.41237405,0.0
-0.47167181,0.0
-0.41345783,0.0
-0.36461703,0.0
-0.44929829,0.0
-0.47141866,0.0
-0.42477658,0.0
-0.46251673,0.0
-0.55247236,0.0
-0.47537519,0.0
-0.6942,0.0
-0.7018681,0.0
-0.59381178,0.0
-0.66068415,0.0
-0.71383066,0.0
-0.76980688,0.0
-0.67228161,0.0
-0.65367605,0.0
-0.63940562,0.0
-0.55930228,0.0
-0.59167032,0.0
-0.49322332,0.0
-0.46305183,0.0
-0.30164382,0.0
-0.23273401,0.0
-0.12505488,0.0
-0.15394314,0.0
-0.024357404,0.0
-0.065608758,0.0
0.034999258,0.0
0.061935219,0.0
0.07119542,0.0
0.12392505,0.0
0.10312371,0.0
0.22522849,0.0
0.12868305,0.0
0.30248315,0.0
0.25727621,0.0
0.19635161,0.0
0.17938297,0.0
0.24472863,0.0
0.34121687,0.0
0.32820441,0.0
0.40604169,0.0
0.44660507,0.0
0.42406823,0.0
0.48151204,0.0
0.4778438,0.0
0.62408259,0.0
0.57458456,0.0
0.59801319,0.0
0.5645919,0.0
0.607979,0.0
0.62063457,0.0
0.65625291,0.0
0.68474806,0.0
0.69427284,0.0
0.66558377,0.0
0.57579577,0.0
0.63813479,0.0
0.61491695,0.0
0.56908343,0.0
0.46857572,0.0
0.44281777,0.0
0.46827436,0.0
0.43249295,0.0
0.40795792,0.0
0.41862256,0.0
0.36253075,0.0
0.41095901,0.0
0.47166633,0.0
0.37216676,0.0
0.33787543,0.0
0.22140511,0.0
0.27399747,0.0
0.29866408,0.0
0.26356357,0.0
0.34256352,0.0
0.41950529,0.0
0.58660736,0.0
0.86062387,0.0
1.1733446,0.0
1.2581791,0.0
1.4337887,0.0
1.7005334,0.0
1.9990431,0.0
2.1253411,0.0
1.9932907,0.0
1.9322463,0.0
1.7974367,0.0
1.5222839,0.0
1.2511679,0.0
0.99873034,0.0
0.48372242,0.0
0.023132292,0.0
-0.19491383,0.0
-0.22091729,0.0
-0.24373668,0.0
-0.25469462,0.0
-0.29113555,0.0
-0.25649034,0.0
-0.22787425,0.0
-0.32242276,0.0
-0.28928586,0.0
-0.31816951,0.0
-0.36365359,0.0
-0.39345584,0.0
-0.26641886,0.0
-0.25682316,0.0
-0.28869399,0.0
-0.16233755,0.0
0.16034772,0.0
0.79216787,0.0
0.93354122,0.0
0.79695779,0.0
0.57862066,0.0
0.2577399,0.0
0.22807718,0.0
0.12343082,0.0
0.92528624,0.0
0.19313742,0.0
-0.56708802,2.0
-2.5934502,2.0
-3.8742297,2.0
-4.5840949,2.0
-4.1874487,2.0
-3.1514617,2.0
-1.7429402,2.0
-1.4906585,2.0
-1.1835803,2.0
-0.39422869,2.0
-0.28289676,2.0
-0.35692576,2.0
-0.28729745,2.0
-0.3994889,2.0
-0.47324409,2.0
-0.37904758,2.0
-0.39903903,2.0
-0.17859449,2.0
-0.33952226,2.0
-0.49844722,2.0
-0.33725108,2.0
-0.42547978,2.0
-0.42395228,2.0
-0.46317045,2.0
-0.49325315,2.0
-0.54974899,2.0
-0.52983109,2.0
-0.53093478,2.0
-0.5023649,2.0
-0.41736768,2.0
-0.52634573,2.0
-0.47100496,2.0
-0.67678428,2.0
-0.89861193,2.0
-0.61057104,2.0
-0.5301643,2.0
-0.76567438,2.0
-0.58193724,2.0
-0.53784761,2.0
-0.55638598,2.0
-0.43802347,2.0
-0.43624802,2.0
-0.40011375,2.0
-0.13498651,2.0
-0.23934677,2.0
-0.12024439,2.0
-0.0019714041,2.0
0.28500048,2.0
0.31564573,2.0
0.10736401,2.0
0.10952148,2.0
0.15807843,2.0
0.29189779,2.0
0.2612945,2.0
0.18840714,2.0
0.14065136,2.0
0.26336542,2.0
0.28720706,2.0
0.31431725,2.0
0.17794238,2.0
0.13829008,2.0
0.32106868,2.0
0.45816774,2.0
0.25191615,2.0
0.26135293,2.0
0.27748753,2.0
0.29879325,2.0
0.45907535,2.0
0.41914662,2.0
0.52050892,2.0
0.53776119,2.0
0.60321071,2.0
0.47563399,2.0
0.52169287,2.0
0.73524831,2.0
0.72954106,2.0
0.71852334,2.0
0.49843316,2.0
0.54544098,2.0
0.60482668,2.0
0.52129639,2.0
0.39438062,2.0
0.40502023,2.0
0.59756305,2.0
0.53113004,2.0
0.3776509,2.0
0.46770093,2.0
0.45756933,2.0
0.34111609,2.0
0.40791318,2.0
0.45912699,2.0
0.40393661,2.0
0.2981912,2.0
0.46110053,2.0
0.6646591,2.0
0.58775722,2.0
0.70132474,2.0
0.91720459,2.0
1.2479873,2.0
1.5055679,2.0
1.6401054,2.0
1.8109878,2.0
2.1853978,2.0
2.2629849,2.0
2.0529202,2.0
1.890488,2.0
1.793033,2.0
1.5647844,2.0
1.2346189,2.0
0.90030201,2.0
0.55195714,2.0
0.25822163,2.0
-0.128587,2.0
-0.092585287,2.0
-0.16860627,2.0
-0.4959888,2.0
-0.39503448,2.0
-0.32823831,2.0
-0.44813804,2.0
-0.26823009,2.0
-0.45641485,2.0
-0.35786694,2.0
-0.31750833,2.0
-0.43411223,2.0
-0.54920348,2.0
-0.32461549,2.0
-0.26808235,2.0
-0.22038421,2.0
-0.11742905,2.0
0.61405916,2.0
1.2848254,2.0
0.88607336,2.0
0.5314524,2.0
0.31137684,2.0
-0.021918959,2.0
-0.71368344,2.0
-0.53219671,2.0
0.32109663,2.0
0.90422673,2.0
-0.42179659,2.0
0.49047253,3.0
-1.9144071,3.0
-3.6163638,3.0
-4.3188235,3.0
-4.2680158,3.0
-3.8811104,3.0
-2.9932802,3.0
-1.6711314,3.0
-1.3338845,3.0
-0.96562916,3.0
-0.18331859,3.0
-0.10165662,3.0
-0.27387437,3.0
-0.12781761,3.0
-0.19598345,3.0
-0.21352292,3.0
-0.17647269,3.0
-0.1569316,3.0
-0.14917231,3.0
-0.18150997,3.0
-0.18007406,3.0
-0.24615133,3.0
-0.27425986,3.0
-0.14095962,3.0
-0.27744877,3.0
-0.38254906,3.0
-0.31193709,3.0
-0.36009264,3.0
-0.40596818,3.0
-0.57143343,3.0
-0.52410561,3.0
-0.53788646,3.0
-0.60677754,3.0
-0.66144617,3.0
-0.68337478,3.0
-0.74668256,3.0
-0.63566206,3.0
-0.62523095,3.0
-0.54009375,3.0
-0.67499495,3.0
-0.65394896,3.0
