ts,y
-0.77835282,2.0
-0.77827907,2.0
-0.77715084,2.0
-0.77768415,2.0
-0.77590005,2.0
-0.77242112,2.0
-0.76546368,2.0
-0.76227521,2.0
-0.76375171,2.0
-0.7653562,2.0
-0.76561727,2.0
-0.76597758,2.0
-0.76856885,2.0
-0.77674009,2.0
-0.78191495,2.0
-0.78205063,2.0
-0.77799435,2.0
-0.77678608,2.0
-0.77608194,2.0
-0.77861324,2.0
-0.78267158,2.0
-0.78045439,2.0
-0.77700149,2.0
-0.76996878,2.0
-0.76981823,2.0
-0.7687117,2.0
-0.76990229,2.0
-0.77251418,2.0
-0.77290822,2.0
-0.77446878,2.0
-0.77413797,2.0
-0.76995012,2.0
-0.76900216,2.0
-0.76946942,2.0
-0.77118182,2.0
-0.77031196,2.0
-0.76104601,2.0
-0.71916875,2.0
-0.66383998,2.0
-0.63926769,2.0
-0.63442007,2.0
-0.62869976,2.0
-0.63340638,2.0
-0.62427167,2.0
-0.59826378,2.0
-0.57381015,2.0
-0.56251975,2.0
-0.5501765,2.0
-0.5281981,2.0
-0.4766243,2.0
-0.39206771,2.0
-0.30889759,2.0
-0.011156692,2.0
0.28711513,2.0
0.43799566,2.0
0.61875099,2.0
0.88714801,2.0
1.1356449,2.0
1.3414548,2.0
1.5200484,2.0
1.6115033,2.0
1.6557754,2.0
1.6750362,2.0
1.6882409,2.0
1.6986055,2.0
1.7034703,2.0
1.7037385,2.0
1.7005483,2.0
1.7000271,2.0
1.6983303,2.0
1.6969788,2.0
1.6951031,2.0
1.6967493,2.0
1.6966075,2.0
1.6941992,2.0
1.6886869,2.0
1.6886869,2.0
1.6865958,2.0
1.678218,2.0
1.6716127,2.0
1.6679297,2.0
1.6621545,2.0
1.6624095,2.0
1.655511,2.0
1.6483839,2.0
1.6372525,2.0
1.6371645,2.0
1.6344323,2.0
1.6221158,2.0
1.5973876,2.0
1.5675681,2.0
1.5063427,2.0
1.4058495,2.0
1.2811714,2.0
1.1392162,2.0
0.97935621,2.0
0.80906414,2.0
0.64691923,2.0
0.4716904,2.0
0.3026937,2.0
0.18773681,2.0
0.039058399,2.0
-0.078697581,2.0
-0.20821437,2.0
-0.31264454,2.0
-0.38899594,2.0
-0.451825,2.0
-0.49965696,2.0
-0.53307436,2.0
-0.557154,2.0
-0.56284145,2.0
-0.57743736,2.0
-0.59806714,2.0
-0.62009554,2.0
-0.63717177,2.0
-0.64028974,2.0
-0.63695831,2.0
-0.6304882,2.0
-0.60813961,2.0
-0.5875428,2.0
-0.57186065,2.0
-0.55389145,2.0
-0.53961389,2.0
-0.53883187,2.0
-0.55839037,2.0
-0.58863936,2.0
-0.62928784,2.0
-0.6625099,2.0
-0.69087978,2.0
-0.70717443,2.0
-0.72228477,2.0
-0.73265422,2.0
-0.73873723,2.0
-0.73923604,2.0
-0.73840934,2.0
-0.73718665,2.0
-0.73140657,2.0
-0.72740235,2.0
-0.72749086,2.0
-0.72378459,2.0
-0.72205505,2.0
-0.71871191,2.0
-0.71353402,2.0
-0.71002135,2.0
-0.70412555,2.0
-0.70326284,2.0
-0.70339321,2.0
-0.70419626,2.0
-0.70760524,2.0
-0.7071202,2.0
-0.75006044,3.0
-0.7481029,3.0
-0.746164,3.0
-0.7459259,3.0
-0.74376653,3.0
-0.74380547,3.0
-0.74521298,3.0
-0.74508159,3.0
-0.74572743,3.0
-0.74581502,3.0
-0.74598911,3.0
-0.74568185,3.0
-0.74569998,3.0
-0.74561675,3.0
-0.74634602,3.0
-0.74563756,3.0
-0.74554026,3.0
-0.74488431,3.0
-0.74483576,3.0
-0.74605927,3.0
-0.7442893,3.0
-0.74481059,3.0
-0.745005,3.0
-0.74428445,3.0
-0.74262576,3.0
-0.74215639,3.0
-0.74119754,3.0
-0.74075918,3.0
-0.73883068,3.0
-0.73785994,3.0
-0.72946106,3.0
-0.70013523,3.0
-0.65003881,3.0
-0.60091977,3.0
-0.57789281,3.0
-0.56986847,3.0
-0.5630176,3.0
-0.57064252,3.0
-0.57864982,3.0
-0.58557173,3.0
-0.58579864,3.0
-0.57486426,3.0
-0.55792917,3.0
-0.53890367,3.0
-0.51600086,3.0
-0.4748357,3.0
-0.40691638,3.0
-0.32780754,3.0
-0.25246295,3.0
-0.070797886,3.0
0.11265102,3.0
0.25307494,3.0
0.48088629,3.0
0.68198776,3.0
0.8728218,3.0
1.0666543,3.0
1.2539065,3.0
1.4437366,3.0
1.6197464,3.0
1.7001616,3.0
1.7336357,3.0
1.7523804,3.0
1.7661134,3.0
1.7717047,3.0
1.7735659,3.0
1.7781045,3.0
1.7807002,3.0
1.7815884,3.0
1.783278,3.0
1.7797761,3.0
1.7819722,3.0
1.7769277,3.0
1.7768497,3.0
1.7762282,3.0
1.7765416,3.0
1.7773963,3.0
1.7773963,3.0
1.7718713,3.0
1.764202,3.0
1.7622499,3.0
1.7636959,3.0
1.7594394,3.0
1.7526962,3.0
1.7422174,3.0
1.7182454,3.0
1.6777697,3.0
1.6165264,3.0
1.5142188,3.0
1.3992524,3.0
1.2610293,3.0
1.1175746,3.0
0.95725203,3.0
0.78539811,3.0
0.61598357,3.0
0.45022796,3.0
0.28726923,3.0
0.14467732,3.0
0.018479204,3.0
-0.10955546,3.0
-0.21449895,3.0
-0.31115256,3.0
-0.37319512,3.0
-0.42763604,3.0
-0.45897579,3.0
-0.47963183,3.0
-0.50516626,3.0
-0.5176427,3.0
-0.52649173,3.0
-0.53481758,3.0
-0.53970259,3.0
-0.54970507,3.0
