ts,y
-0.33447,6.0
-0.33813,6.0
-0.33569,6.0
-0.33203,6.0
-0.33325,6.0
-0.33203,6.0
-0.33325,6.0
-0.33203,6.0
-0.33325,6.0
-0.33325,6.0
-0.33203,6.0
-0.33447,6.0
-0.33447,6.0
-0.33569,6.0
-0.33325,6.0
-0.33325,6.0
-0.33203,6.0
-0.33203,6.0
-0.33813,6.0
-0.33936,6.0
-0.32715,6.0
-0.32837,6.0
-0.32959,6.0
-0.32715,6.0
-0.33203,6.0
-0.33203,6.0
-0.33081,6.0
-0.32837,6.0
-0.32959,6.0
-0.33081,6.0
-0.32715,6.0
-0.32959,6.0
-0.32959,6.0
-0.34058,6.0
-0.33813,6.0
-0.33325,6.0
-0.33081,6.0
-0.32959,6.0
-0.33203,6.0
-0.32837,6.0
-0.32715,6.0
-0.32959,6.0
-0.33813,6.0
-0.32715,6.0
-0.32837,6.0
-0.33081,6.0
-0.32959,6.0
-0.32715,6.0
-0.32593,6.0
-0.32837,6.0
-0.33081,6.0
-0.32959,6.0
-0.32715,6.0
-0.32593,6.0
-0.32837,6.0
-0.32837,6.0
-0.32715,6.0
-0.32837,6.0
-0.32837,6.0
-0.33691,6.0
-0.32837,6.0
-0.32593,6.0
-0.32837,6.0
-0.32715,6.0
-0.32593,6.0
-0.32715,6.0
-0.33447,6.0
-0.32349,6.0
-0.32837,6.0
-0.32715,6.0
-0.32593,6.0
-0.32471,6.0
-0.32593,6.0
-0.32471,6.0
-0.32593,6.0
-0.33081,6.0
-0.32837,6.0
-0.32471,6.0
-0.32593,6.0
-0.32715,6.0
-0.32715,6.0
-0.32593,6.0
-0.32471,6.0
-0.32715,6.0
-0.32593,6.0
-0.32837,6.0
-0.32715,6.0
-0.32349,6.0
-0.32715,6.0
-0.32715,6.0
-0.32959,6.0
-0.33691,6.0
-0.32349,6.0
-0.32593,6.0
-0.32471,6.0
-0.32227,6.0
-0.32471,6.0
-0.32349,6.0
-0.32227,6.0
-0.32349,6.0
-0.32837,6.0
-0.32593,6.0
-0.32471,6.0
-0.32471,6.0
-0.32959,6.0
-0.32593,6.0
-0.32349,6.0
-0.32471,6.0
-0.32715,6.0
-0.32227,6.0
-0.32471,6.0
-0.32349,6.0
-0.32227,6.0
-0.32227,6.0
-0.32593,6.0
-0.32471,6.0
-0.32227,6.0
-0.32349,6.0
-0.32349,6.0
-0.32227,6.0
-0.32471,6.0
-0.32471,6.0
-0.32471,6.0
-0.32349,6.0
-0.32471,6.0
-0.32349,6.0
-0.32349,6.0
-0.32104,6.0
-0.3186,6.0
-0.32104,6.0
-0.32349,6.0
-0.32104,6.0
-0.32104,6.0
-0.31982,6.0
-0.32227,6.0
-0.32593,6.0
-0.32227,6.0
-0.32104,6.0
-0.32227,6.0
-0.32227,6.0
-0.32349,6.0
-0.32227,6.0
-0.32227,6.0
-0.31738,6.0
-0.32104,6.0
-0.33203,6.0
-0.32104,6.0
-0.32104,6.0
-0.31982,6.0
-0.32593,6.0
-0.32104,6.0
-0.31738,6.0
-0.31982,6.0
-0.3186,6.0
-0.32104,6.0
-0.31982,6.0
-0.3186,6.0
-0.3186,6.0
-0.3186,6.0
-0.32104,6.0
-0.31738,6.0
-0.31982,6.0
-0.32104,6.0
-0.31982,6.0
-0.3186,6.0
-0.31982,6.0
-0.3186,6.0
-0.31738,6.0
-0.31616,6.0
-0.31738,6.0
-0.32227,6.0
-0.3186,6.0
-0.32104,6.0
-0.31982,6.0
-0.31738,6.0
-0.32104,6.0
-0.31738,6.0
-0.31982,6.0
-0.3186,6.0
-0.31982,6.0
-0.3186,6.0
-0.3186,6.0
-0.31738,6.0
-0.31982,6.0
-0.31982,6.0
-0.3186,6.0
-0.31982,6.0
-0.3186,6.0
-0.3186,6.0
-0.31738,6.0
-0.32349,6.0
-0.31738,6.0
-0.3186,6.0
-0.31738,6.0
-0.31982,6.0
-0.31982,6.0
-0.31738,6.0
-0.31982,6.0
-0.31616,6.0
-0.31616,6.0
-0.31738,6.0
-0.31738,6.0
-0.3186,6.0
-0.31738,6.0
-0.31982,6.0
-0.31982,6.0
-0.3125,6.0
-0.31738,6.0
-0.31616,6.0
-0.3186,6.0
-0.31738,6.0
-0.31494,6.0
-0.32471,6.0
-0.3125,6.0
-0.31494,6.0
-0.31494,6.0
-0.31616,6.0
-0.31494,6.0
-0.31616,6.0
-0.31738,6.0
-0.31616,6.0
-0.31372,6.0
-0.31494,6.0
-0.31494,6.0
-0.31372,6.0
-0.31738,6.0
-0.3125,6.0
-0.31738,6.0
-0.31738,6.0
-0.31494,6.0
-0.31494,6.0
-0.31372,6.0
-0.31616,6.0
-0.31494,6.0
-0.31616,6.0
-0.32104,6.0
-0.31372,6.0
-0.31494,6.0
-0.31494,6.0
-0.31738,6.0
-0.31738,6.0
-0.31372,6.0
-0.31494,6.0
-0.31372,6.0
-0.3125,6.0
-0.31616,6.0
-0.31494,6.0
-0.31616,6.0
-0.31372,6.0
-0.31372,6.0
-0.31616,6.0
-0.31494,6.0
-0.3125,6.0
-0.31372,6.0
-0.31494,6.0
-0.3186,6.0
-0.31372,6.0
-0.31982,6.0
-0.3186,6.0
-0.31494,6.0
-0.31494,6.0
-0.31616,6.0
-0.31372,6.0
-0.31372,6.0
-0.31494,6.0
-0.31616,6.0
-0.3125,6.0
-0.32227,6.0
-0.33203,6.0
-0.33081,6.0
-0.33691,6.0
-0.3418,6.0
-0.35156,6.0
-0.36621,6.0
-0.37964,6.0
-0.3894,6.0
-0.39429,6.0
-0.39429,6.0
-0.39795,6.0
-0.39917,6.0
-0.40039,6.0
-0.40161,6.0
-0.40283,6.0
-0.40405,6.0
-0.40527,6.0
-0.40405,6.0
-0.40161,6.0
-0.40405,6.0
-0.40039,6.0
-0.40283,6.0
-0.40161,6.0
-0.39795,6.0
-0.40039,6.0
-0.39795,6.0
