ts,y
-0.2750338,19.0
-0.28497819,19.0
-0.29510315,19.0
-0.2974336,19.0
-0.2922311,19.0
-0.28453904,19.0
-0.28314852,19.0
-0.26871126,19.0
-0.23165342,19.0
-0.21006503,19.0
-0.19187731,19.0
-0.14736995,19.0
-0.11771881,19.0
-0.093650216,19.0
-0.07300843,19.0
-0.088842426,19.0
-0.10320408,19.0
-0.11577868,19.0
-0.16325257,19.0
-0.19833178,19.0
-0.22040065,19.0
-0.25127203,19.0
-0.26972675,19.0
-0.27501207,19.0
-0.28348165,19.0
-0.29458596,19.0
-0.30596369,19.0
-0.31816967,19.0
-0.33016171,19.0
-0.34126075,19.0
-0.35066965,19.0
-0.35791732,19.0
-0.36350458,19.0
-0.36752785,19.0
-0.37014567,19.0
-0.37204391,19.0
-0.37292842,19.0
-0.37318726,19.0
-0.37318507,19.0
-0.37312921,19.0
-0.37309496,19.0
-0.37301736,19.0
-0.37289675,19.0
-0.37286847,19.0
-0.37265959,19.0
-0.37258552,19.0
-0.37271024,19.0
-0.37270852,19.0
-0.37278567,19.0
-0.37265848,19.0
-0.37261879,19.0
-0.37259404,19.0
-0.37249263,19.0
-0.37229274,19.0
-0.37209661,19.0
-0.37166705,19.0
-0.37072329,19.0
-0.36893174,19.0
-0.36639973,19.0
-0.36401633,19.0
-0.3628377,19.0
-0.3579779,19.0
-0.34436093,19.0
-0.3179116,19.0
-0.27497005,19.0
-0.21342525,19.0
-0.13251178,19.0
-0.034566243,19.0
0.068301697,19.0
0.16120559,19.0
0.23151761,19.0
0.28138674,19.0
0.34320938,19.0
0.45986844,19.0
0.66363675,19.0
0.9778817,19.0
1.418137,19.0
1.9883137,19.0
2.6662066,19.0
3.3887467,19.0
4.074771,19.0
4.6517622,19.0
5.0601884,19.0
5.2574038,19.0
5.2222517,19.0
4.9594839,19.0
4.5001818,19.0
3.8980323,19.0
3.2224014,19.0
2.5482483,19.0
1.9391019,19.0
1.4320705,19.0
1.037934,19.0
0.74931817,19.0
0.54747437,19.0
0.40581456,19.0
0.29414461,19.0
0.18853453,19.0
0.081031988,19.0
-0.024089942,19.0
-0.11901924,19.0
-0.19809218,19.0
-0.25905396,19.0
-0.30274769,19.0
-0.33189091,19.0
-0.34999377,19.0
-0.36047458,19.0
-0.36617024,19.0
-0.36917948,19.0
-0.37063895,19.0
-0.37107229,19.0
-0.37057117,19.0
-0.36917983,19.0
-0.36660206,19.0
-0.36288318,19.0
-0.35829777,19.0
-0.35340388,19.0
-0.3486029,19.0
-0.34427879,19.0
-0.34074814,19.0
-0.33854399,19.0
-0.3379967,19.0
-0.33900087,19.0
-0.34114094,19.0
-0.34391658,19.0
-0.34706902,19.0
-0.35037062,19.0
-0.35355979,19.0
-0.35626985,19.0
-0.35851492,19.0
-0.36038727,19.0
-0.36204145,19.0
-0.36346056,19.0
-0.36478807,19.0
-0.36621708,19.0
-0.36779237,19.0
-0.36936907,19.0
-0.3707213,19.0
-0.37180843,19.0
-0.37270312,19.0
-0.37332914,19.0
-0.37360063,19.0
-0.37368462,19.0
-0.37363827,19.0
-0.37351286,19.0
-0.37342391,19.0
-0.37335287,19.0
-0.37332596,19.0
-0.37333669,19.0
-0.37341054,19.0
-0.37350295,19.0
-0.37354851,19.0
-0.37355634,19.0
-0.37351003,19.0
-0.37349963,19.0
-0.37347504,19.0
-0.37344717,19.0
-0.37338708,19.0
-0.37316078,19.0
-0.37201082,19.0
-0.36903116,19.0
-0.36262863,19.0
-0.35187145,19.0
-0.33647479,19.0
-0.31817027,19.0
-0.30047471,19.0
-0.28828395,19.0
-0.28070223,19.0
-0.26267918,19.0
-0.22357888,19.0
-0.15959623,19.0
-0.070947211,19.0
0.039111857,19.0
0.16553244,19.0
0.29657487,19.0
0.40746262,19.0
0.48010716,19.0
0.50573776,19.0
0.48318809,19.0
0.42474086,19.0
0.35465116,19.0
0.2948732,19.0
0.25133822,19.0
0.22131778,19.0
0.20093181,19.0
0.18640804,19.0
0.1695033,19.0
0.13412956,19.0
0.071749508,19.0
-0.0058782088,19.0
-0.080834976,19.0
-0.14497565,19.0
-0.19461995,19.0
-0.22982105,19.0
-0.25054156,19.0
-0.2603206,19.0
-0.26816616,19.0
-0.28228172,19.0
-0.30155925,19.0
-0.3212136,19.0
-0.33673138,19.0
-0.34731428,19.0
-0.35311589,19.0
-0.35480149,19.0
-0.35333916,19.0
-0.34965678,19.0
-0.34581695,19.0
-0.34413986,19.0
-0.34439524,19.0
-0.34630702,19.0
-0.34945896,19.0
-0.35343873,19.0
-0.35755502,19.0
-0.36151555,19.0
-0.36413851,19.0
-0.36563716,19.0
-0.36602282,19.0
-0.36562509,19.0
-0.36457235,19.0
-0.36327299,19.0
-0.3617779,19.0
