ts,y
0.081699876,2.0
0.057579707,2.0
0.01930907,2.0
-0.017997872,2.0
-0.045012881,2.0
-0.058198905,2.0
-0.12284234,2.0
-0.42193859,2.0
-0.41229037,2.0
-0.304506,2.0
-0.17494347,2.0
-0.050342875,2.0
0.10292671,2.0
0.10871564,2.0
0.25343965,2.0
0.39546187,2.0
0.58611125,2.0
0.49443102,2.0
0.61312701,2.0
0.56314857,2.0
0.59140519,2.0
0.61138965,2.0
0.53020717,2.0
0.57431331,2.0
0.41167117,2.0
0.4373995,2.0
0.23105609,2.0
0.03667511,2.0
-0.012851907,2.0
0.16274566,2.0
0.10871564,2.0
0.048896687,2.0
-0.058392693,2.0
0.41784543,2.0
0.64322915,2.0
0.73276491,2.0
0.73070682,2.0
0.68825391,2.0
0.67892718,2.0
0.63087913,2.0
0.57376198,2.0
0.52667838,2.0
0.49400288,2.0
0.45412258,2.0
0.39237399,2.0
0.34529113,2.0
0.28945992,2.0
0.25086704,2.0
0.20648525,2.0
0.14758492,2.0
0.097964014,2.0
-0.016711944,2.0
-0.116282,2.0
-0.17301382,2.0
-0.23283277,2.0
-0.28557611,2.0
-0.32352602,2.0
-0.35247142,2.0
-0.38849093,2.0
-0.42116718,2.0
-0.47789825,2.0
-0.52999938,2.0
-0.55977027,2.0
-0.59817986,2.0
-0.60056995,2.0
-0.65349656,2.0
-0.74804984,2.0
-0.096471043,2.0
0.32097718,2.0
0.39816367,2.0
-8.40928,2.0
0.099067421,2.0
0.10292671,2.0
0.030564698,2.0
-0.21353558,2.0
-0.38591833,2.0
0.025096498,2.0
0.19297699,2.0
0.22192164,2.0
0.18049928,2.0
0.1691783,2.0
0.12222389,2.0
0.053527383,2.0
0.023811322,2.0
-0.62947428,10.0
-0.67074603,10.0
-0.69219893,10.0
-0.71807436,10.0
-0.73796882,10.0
-0.76144713,10.0
-0.77998285,10.0
-0.82268894,10.0
-0.8487866,10.0
-0.85783194,10.0
-0.87735584,10.0
-0.87735584,10.0
-0.88674693,10.0
-0.87844329,10.0
0.054560319,10.0
0.3707019,10.0
0.60160098,10.0
0.77996594,10.0
1.0340259,10.0
1.2344567,10.0
1.2950065,10.0
1.3879304,10.0
1.6511344,10.0
1.2782006,10.0
0.9650253,10.0
-7.2173886,10.0
0.68802963,10.0
0.60795657,10.0
0.56643663,10.0
0.58126497,10.0
0.55309111,10.0
0.58295964,10.0
0.58867972,10.0
0.59609331,10.0
0.59016198,10.0
0.5674248,10.0
0.50514632,10.0
0.45967254,10.0
0.47805992,10.0
0.4245786,10.0
0.32325119,10.0
0.15242797,10.0
-0.063558502,10.0
-0.2125496,10.0
-0.30349659,10.0
0.19191327,10.0
0.29274717,10.0
0.34005646,10.0
0.35488481,10.0
0.35809694,10.0
0.35142389,10.0
0.33437216,10.0
0.31336486,10.0
0.2965596,10.0
0.2706097,10.0
0.24762606,10.0
0.2105552,10.0
0.29274717,10.0
0.16236279,10.0
0.096079105,10.0
0.059305504,10.0
0.023716901,10.0
-0.0079172865,10.0
-0.047459156,10.0
-0.12753222,10.0
-0.075633009,10.0
-0.24556734,10.0
-0.28916233,10.0
-0.32919944,10.0
-0.39889266,10.0
-0.45276878,10.0
-0.50951303,10.0
-0.53976308,10.0
-0.55518364,10.0
-0.5719612,10.0
-0.53501732,10.0
-0.60908516,10.0
-0.59363864,10.0
0.06311793,10.0
0.035579577,10.0
0.07190931,10.0
0.28173125,10.0
0.46085927,10.0
0.69692663,10.0
-0.47353618,65.0
-0.51135064,65.0
