ts,y
1.7751806,8.0
1.8383546,8.0
1.9104974,8.0
1.9687411,8.0
1.9569559,8.0
1.936453,8.0
1.9199593,8.0
1.8878364,8.0
1.8573255,8.0
1.8323988,8.0
1.8060941,8.0
1.7777421,8.0
1.7282319,8.0
1.6914569,8.0
1.6352583,8.0
1.5820588,8.0
1.5235623,8.0
1.4689213,8.0
1.4157525,8.0
1.3715923,8.0
1.3385001,8.0
1.3084475,8.0
1.2723351,8.0
1.2412035,8.0
1.2183505,8.0
1.1987468,8.0
1.1915758,8.0
1.1876763,8.0
1.1805721,8.0
1.1687066,8.0
1.1554138,8.0
1.1205054,8.0
1.0752673,8.0
1.0488563,8.0
1.0523564,8.0
1.0476428,8.0
1.0541996,8.0
1.0035268,8.0
0.96229284,8.0
0.92375227,8.0
0.88390667,8.0
0.82983849,8.0
0.78591284,8.0
0.73632166,8.0
0.69793573,8.0
0.65703581,8.0
0.61006797,8.0
0.56488385,8.0
0.52176539,8.0
0.47172787,8.0
0.43248752,8.0
0.38675032,8.0
0.33350632,8.0
0.28072345,8.0
0.22267923,8.0
0.14215503,8.0
0.065982618,8.0
0.004419024,8.0
-0.069016921,8.0
-0.127828,8.0
-0.19342986,8.0
-0.24951463,8.0
-0.31023421,8.0
-0.37107454,8.0
-0.4288512,8.0
-0.47718142,8.0
-0.53265977,8.0
-0.57827512,8.0
-0.62136659,8.0
-0.65399986,8.0
-0.68368134,8.0
-0.70633599,8.0
-0.72373363,8.0
-0.73819128,8.0
-0.73673696,8.0
-0.7321874,8.0
-0.72390632,8.0
-0.71173645,8.0
-0.69976466,8.0
-0.68281767,8.0
-0.65419622,8.0
-0.62067578,8.0
-0.58832858,8.0
-0.55756776,8.0
-0.53453451,8.0
-0.49761042,8.0
-0.43154577,8.0
-0.38860423,8.0
-0.4267896,8.0
-0.51564728,8.0
-0.54525598,8.0
-0.5633369,8.0
-0.55733366,8.0
-0.53033059,8.0
-0.49678523,8.0
-0.44903169,8.0
-0.39162601,8.0
-0.34397479,8.0
-0.27637724,8.0
-0.20752096,8.0
-0.13787472,8.0
-0.09023228,8.0
-0.017741799,8.0
-0.019072888,8.0
-0.075615578,8.0
-0.074873084,8.0
-0.14787422,8.0
-0.22951346,8.0
-0.31571751,8.0
-0.38270201,8.0
-0.46828351,8.0
-0.53726952,8.0
-0.61962266,8.0
-0.69297264,8.0
-0.76202468,8.0
-0.83371099,8.0
-0.89677679,8.0
