ts,y
0.44,0.0
0.4,0.0
0.36,0.0
0.35,0.0
0.35,0.0
0.38,0.0
0.36,0.0
0.35,0.0
0.35,0.0
0.38,0.0
0.38,0.0
0.38,0.0
0.42,0.0
0.45,0.0
0.43,0.0
0.37,0.0
0.66,0.0
1.13,0.0
1.35,0.0
1.09,0.0
0.75,0.0
0.41,0.0
0.37,0.0
0.33,0.0
0.33,0.0
0.4,0.0
0.4,0.0
0.39,0.0
0.4,0.0
0.43,0.0
0.4,0.0
0.35,0.0
0.31,0.0
0.33,0.0
0.33,0.0
0.33,0.0
0.3,0.0
0.3,0.0
0.33,0.0
0.36,0.0
1.1,0.0
1.83,0.0
1.93,0.0
2.04,0.0
2.04,0.0
1.93,0.0
1.93,0.0
1.53,0.0
1.36,0.0
1.19,0.0
2.25,0.0
3.31,0.0
3.08,0.0
2.85,0.0
2.04,0.0
1.24,0.0
1.26,0.0
1.29,0.0
1.31,0.0
1.34,0.0
1.79,0.0
2.25,0.0
1.73,0.0
1.21,0.0
1.12,0.0
0.97,0.0
0.82,0.0
0.47,0.0
0.11,0.0
0.16,0.0
0.22,0.0
0.62,0.0
0.82,0.0
0.63,0.0
0.35,0.0
0.3,0.0
0.22,0.0
0.17,0.0
0.27,0.0
0.21,0.0
0.15,0.0
0.16,0.0
0.22,0.0
0.31,0.0
0.48,0.0
0.65,0.0
1.01,0.0
1.36,0.0
0.92,0.0
0.52,0.0
0.23,0.0
0.21,0.0
0.19,0.0
0.16,0.0
0.16,0.0
0.17,0.0
0.17,0.0
0.17,0.0
0.18,0.0
0.18,0.0
0.16,0.0
0.19,0.0
0.25,0.0
0.28,0.0
0.26,0.0
0.23,0.0
0.21,0.0
0.2,0.0
0.18,0.0
0.14,0.0
0.25,0.0
0.37,0.0
0.58,0.0
0.7,0.0
0.74,0.0
0.56,0.0
0.38,0.0
0.32,0.0
0.3,0.0
0.32,0.0
0.31,0.0
0.31,0.0
0.85,0.0
1.4,0.0
1.82,0.0
2.24,0.0
2.29,0.0
2.34,0.0
2.38,0.0
2.38,0.0
1.23,0.0
1.23,0.0
1.18,0.0
1.14,0.0
0.77,0.0
0.4,0.0
0.33,0.0
0.29,0.0
0.28,0.0
0.24,0.0
0.22,0.0
0.23,0.0
0.25,0.0
0.25,0.0
0.34,2.0
0.34,2.0
0.34,2.0
0.26,2.0
0.18,2.0
0.83,2.0
1.48,2.0
1.36,2.0
0.95,2.0
0.55,2.0
0.42,2.0
0.29,2.0
0.26,2.0
0.24,2.0
0.24,2.0
0.25,2.0
0.23,2.0
0.25,2.0
0.26,2.0
0.25,2.0
0.25,2.0
0.26,2.0
0.28,2.0
0.3,2.0
0.33,2.0
0.31,2.0
0.3,2.0
0.27,2.0
0.25,2.0
0.22,2.0
0.2,2.0
0.22,2.0
0.24,2.0
0.22,2.0
0.19,2.0
0.22,2.0
0.24,2.0
0.24,2.0
0.25,2.0
1.79,2.0
3.33,2.0
2.94,2.0
2.54,2.0
2.54,2.0
1.58,2.0
1.58,2.0
1.46,2.0
1.34,2.0
1.61,2.0
1.79,2.0
1.96,2.0
1.97,2.0
1.63,2.0
1.29,2.0
1.31,2.0
1.34,2.0
1.32,2.0
1.3,2.0
1.28,2.0
1.26,2.0
1.24,2.0
1.21,2.0
0.92,2.0
0.64,2.0
0.45,2.0
0.26,2.0
0.23,2.0
0.24,2.0
0.26,2.0
0.25,2.0
0.25,2.0
0.29,2.0
0.34,2.0
0.33,2.0
0.33,2.0
0.31,2.0
0.29,2.0
0.32,2.0
0.35,2.0
0.31,2.0
0.27,2.0
0.23,2.0
0.2,2.0
1.29,2.0
2.39,2.0
0.77,2.0
0.75,2.0
0.74,2.0
1.08,2.0
1.42,2.0
1.37,2.0
1.58,2.0
1.79,2.0
1.04,2.0
0.29,2.0
0.35,2.0
0.32,2.0
0.28,2.0
0.3,2.0
0.32,2.0
0.19,2.0
0.17,2.0
0.16,2.0
0.24,2.0
0.32,2.0
0.32,2.0
0.32,2.0
0.32,2.0
0.28,2.0
0.28,2.0
0.26,2.0
0.25,2.0
0.26,2.0
0.27,2.0
0.24,2.0
0.21,2.0
0.21,2.0
0.21,2.0
0.23,2.0
0.24,2.0
0.93,2.0
1.62,2.0
2.12,2.0
2.63,2.0
2.63,2.0
1.18,2.0
1.18,2.0
1.01,2.0
0.83,2.0
0.78,2.0
0.74,2.0
0.72,2.0
0.71,2.0
0.7,2.0
0.84,2.0
0.97,2.0
1.23,2.0
1.49,2.0
1.17,2.0
0.85,2.0
0.83,2.0
