ts,y
1.960569,35.0
1.7482891,35.0
1.5024692,35.0
1.2212194,35.0
0.93966451,35.0
0.69616564,35.0
0.45867577,35.0
0.27038387,35.0
0.16512393,35.0
-0.063729749,35.0
-0.027941168,35.0
-0.17691089,35.0
-0.092472833,35.0
-0.28258683,35.0
-0.28520683,35.0
-0.32282981,35.0
-0.50673371,35.0
-0.3303648,35.0
-0.42282675,35.0
-0.49684571,35.0
-0.30292882,35.0
-0.47508573,35.0
-0.60866465,35.0
-0.65661463,35.0
-0.81893854,35.0
-0.75035658,35.0
-0.8982915,35.0
-0.8886635,35.0
-0.98843745,35.0
-1.0274294,35.0
-0.98228245,35.0
-1.0292994,35.0
-1.0894894,35.0
-1.0644594,35.0
-1.0567694,35.0
-1.0292994,35.0
-1.0167194,35.0
-1.0274294,35.0
-0.97690445,35.0
-0.93961347,35.0
-0.92958448,35.0
-0.8838585,35.0
-0.86603851,35.0
-0.74672358,35.0
-0.72152759,35.0
-0.57670767,35.0
-0.5173327,35.0
-0.36755478,35.0
-0.18344788,35.0
-0.056726253,35.0
0.14799194,35.0
0.34429983,35.0
0.47393376,35.0
0.63948367,35.0
0.85702055,35.0
1.0493294,35.0
1.2825893,35.0
1.6286691,35.0
1.874829,35.0
1.913359,35.0
1.9964289,35.0
2.1245389,35.0
2.1539688,35.0
2.0898489,35.0
2.0049889,35.0
1.959949,35.0
1.855119,35.0
1.7592691,35.0
1.6412391,35.0
1.5014292,35.0
1.3563093,35.0
1.2406593,35.0
1.0879094,35.0
0.9571135,35.0
0.7631266,35.0
0.5884207,35.0
0.45380677,35.0
0.28758686,35.0
0.2155919,35.0
0.069997678,35.0
-0.093102233,35.0
-0.28874583,35.0
-0.40128277,35.0
-0.49904071,35.0
-0.60388466,35.0
-0.66986162,35.0
-0.76856557,35.0
-0.78729356,35.0
-0.83255353,35.0
-0.87486451,35.0
-1.0317894,35.0
-1.0624194,35.0
-1.1813993,35.0
-1.1154794,35.0
-1.0619394,35.0
-1.1684793,35.0
-1.0838094,35.0
-1.0833394,35.0
-1.0282094,35.0
-1.0317894,35.0
-1.0517594,35.0
-1.1002494,35.0
-0.99198045,35.0
