ts,y
1.9515678,14.0
1.9515678,14.0
1.9397498,14.0
1.9073345,14.0
1.8941783,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8887383,14.0
1.8787961,14.0
1.7833512,14.0
1.6693351,14.0
1.5342716,14.0
1.4152156,14.0
1.301262,14.0
1.195012,14.0
1.0887621,14.0
0.98251208,14.0
0.89184444,14.0
0.80380304,14.0
0.71916323,14.0
0.61325092,14.0
0.49568312,14.0
0.3540165,14.0
0.21420074,14.0
0.077336372,14.0
-0.035216563,14.0
-0.13581387,14.0
-0.20664719,14.0
-0.29387571,14.0
-0.39892512,14.0
-0.47865011,14.0
-0.55868776,14.0
-0.65773434,14.0
-0.76090786,14.0
-0.86715783,14.0
-0.9734078,14.0
-1.073855,14.0
-1.160896,14.0
-1.2371318,14.0
-1.3071398,14.0
-1.3515607,14.0
-1.3783983,14.0
-1.3783983,14.0
-1.3783983,14.0
-1.3773478,14.0
-1.3689438,14.0
-1.3305633,14.0
-1.2609305,14.0
-1.220524,14.0
-1.1851074,14.0
-1.1496907,14.0
-1.1321325,14.0
-1.1273302,14.0
-1.1009053,14.0
-1.0708536,14.0
-1.035437,14.0
-1.0146522,14.0
-1.0006456,14.0
-0.98203686,14.0
-0.96294038,14.0
-0.94313106,14.0
-0.91915729,14.0
-0.88906814,14.0
-0.82783934,14.0
-0.78281817,14.0
-0.75400461,14.0
-0.74698882,14.0
-0.73623376,14.0
-0.70141738,14.0
-0.68727323,14.0
-0.68727323,14.0
-0.68727323,14.0
-0.67758117,14.0
-0.64756706,14.0
-0.63240993,14.0
-0.62444368,14.0
-0.62444368,14.0
-0.61568956,14.0
-0.59467968,14.0
-0.54834539,14.0
-0.4945701,14.0
-0.43874384,14.0
-0.39946287,14.0
-0.37605186,14.0
-0.37312548,14.0
-0.37312548,14.0
-0.37312548,14.0
-0.37131213,14.0
-0.36831072,14.0
-0.33390704,14.0
-0.32210149,14.0
-0.35751814,14.0
-0.34768852,14.0
-0.31973788,14.0
-0.31373505,14.0
-0.31029593,14.0
-0.31029593,14.0
-0.32882965,14.0
-0.35092754,14.0
-0.3659346,14.0
-0.37312548,14.0
-0.37312548,14.0
-0.37312548,14.0
-0.37027414,14.0
-0.35886878,14.0
-0.3378714,14.0
-0.3108587,14.0
-0.31029593,14.0
-0.31029593,14.0
-0.31029593,14.0
-0.31029593,14.0
-0.31029593,14.0
-0.31029593,14.0
-0.32421498,14.0
-0.35602994,14.0
-0.3676229,14.0
-0.37312548,14.0
-0.37312548,14.0
-0.36100728,14.0
-0.33819656,14.0
-0.32183886,14.0
-0.31467299,14.0
-0.3314809,14.0
-0.35129021,14.0
-0.37290038,14.0
-0.37312548,14.0
-0.37588928,14.0
-0.38369295,14.0
-0.40789183,14.0
-0.43595503,14.0
-0.43595503,14.0
-0.43595503,14.0
-0.43595503,14.0
-0.43595503,14.0
-0.43595503,14.0
-0.43595503,14.0
-0.45123722,14.0
-0.47945049,14.0
-0.49134358,14.0
-0.51081524,14.0
-0.55523613,14.0
-0.60423418,14.0
-0.65585846,14.0
-0.69127511,14.0
-0.73150653,14.0
-0.7801294,14.0
-0.84494739,14.0
-0.91510538,14.0
-0.97873531,14.0
-1.0294342,14.0
-1.0648508,14.0
-1.1002675,14.0
-1.1356841,14.0
-1.1711008,14.0
-1.2250762,14.0
-1.2941086,14.0
-1.3928551,14.0
-1.4878873,14.0
