ts,y
-0.99843301,4.0
-0.99776301,4.0
-0.98474501,4.0
-0.96068501,4.0
-0.93372001,4.0
-0.91242901,4.0
-0.89831901,4.0
-0.88827401,4.0
-0.87972301,4.0
-0.87306801,4.0
-0.87037501,4.0
-0.87069601,4.0
-0.87168901,4.0
-0.87136501,4.0
-0.86930901,4.0
-0.86639601,4.0
-0.86185301,4.0
-0.85549501,4.0
-0.84752001,4.0
-0.83900901,4.0
-0.83144701,4.0
-0.82432001,4.0
-0.81780801,4.0
-0.81142501,4.0
-0.80537301,4.0
-0.80027801,4.0
-0.79520201,4.0
-0.79088101,4.0
-0.78657901,4.0
-0.78265201,4.0
-0.77942901,4.0
-0.77557501,4.0
-0.77157901,4.0
-0.76553001,4.0
-0.75792901,4.0
-0.74940301,4.0
-0.73966201,4.0
-0.73029501,4.0
-0.71962901,4.0
-0.70868901,4.0
-0.69779701,4.0
-0.68673801,4.0
-0.67674301,4.0
-0.66499301,4.0
-0.65181201,4.0
-0.63597601,4.0
-0.61700701,4.0
-0.59611501,4.0
-0.57142601,4.0
-0.54515801,4.0
-0.51726901,4.0
-0.48857701,4.0
-0.45941601,4.0
-0.42715402,4.0
-0.39248502,4.0
-0.35555102,4.0
-0.31955702,4.0
-0.28724802,4.0
-0.25908702,4.0
-0.23466202,4.0
-0.21090702,4.0
-0.18589502,4.0
-0.15781002,4.0
-0.12654202,4.0
-0.094142018,4.0
-0.062605018,4.0
-0.035104018,4.0
-0.012903018,4.0
0.0028179815,4.0
0.010911981,4.0
0.010626981,4.0
-0.00051701851,4.0
-0.023638018,4.0
-0.060744018,4.0
-0.11286602,4.0
-0.17945402,4.0
-0.25973502,4.0
-0.34843202,4.0
-0.43973201,4.0
-0.52569901,4.0
-0.59948601,4.0
-0.65958501,4.0
-0.70495801,4.0
-0.73925101,4.0
-0.76406401,4.0
-0.78085301,4.0
-0.79347501,4.0
-0.80277901,4.0
-0.81244901,4.0
-0.82124801,4.0
-0.82747201,4.0
-0.83217101,4.0
-0.83373201,4.0
-0.83582101,4.0
-0.83651501,4.0
-0.83468101,4.0
-0.83199601,4.0
-0.82642301,4.0
-0.82214701,4.0
-0.81573201,4.0
-0.80545401,4.0
-0.79258101,4.0
-0.77466801,4.0
-0.75731201,4.0
-0.73754201,4.0
-0.71426001,4.0
-0.68820601,4.0
-0.65540501,4.0
-0.61992401,4.0
-0.57758601,4.0
-0.52792801,4.0
-0.47166801,4.0
-0.40633802,4.0
-0.33586802,4.0
-0.25725002,4.0
-0.17198702,4.0
-0.081897018,4.0
0.012800981,4.0
0.10621898,4.0
0.20049698,4.0
0.29385298,4.0
0.38793798,4.0
0.48578898,4.0
0.58365898,4.0
0.68401498,4.0
0.77947298,4.0
0.86625097,4.0
0.93961297,4.0
0.99018397,4.0
1.019951,4.0
1.022851,4.0
1.005418,4.0
0.97319697,4.0
0.92904797,4.0
0.88592297,4.0
0.84261597,4.0
0.81118297,4.0
0.79462098,4.0
0.79313198,4.0
0.81221197,4.0
0.84269697,4.0
0.88921597,4.0
0.94730997,4.0
1.016907,4.0
1.102689,4.0
1.199744,4.0
1.31245,4.0
1.432013,4.0
1.554734,4.0
1.678224,4.0
1.801496,4.0
1.933049,4.0
2.070772,4.0
2.213785,4.0
2.349761,4.0
2.467025,4.0
2.560399,4.0
2.625262,4.0
2.670356,4.0
2.699743,4.0
2.719956,4.0
2.73328,4.0
2.732031,4.0
2.711454,4.0
2.65924,4.0
2.571383,4.0
2.447291,4.0
2.288258,4.0
2.102724,4.0
1.891883,4.0
1.662272,4.0
1.415929,4.0
1.155044,4.0
0.88801397,4.0
0.61872998,4.0
0.36280098,4.0
0.13020698,4.0
-0.068855018,4.0
-0.22632802,4.0
-0.34853702,4.0
-0.43567901,4.0
-0.50067301,4.0
-0.55041601,4.0
-0.58825701,4.0
-0.62236301,4.0
-0.64596001,4.0
-0.66539501,4.0
-0.68025801,4.0
-0.69200601,4.0
-0.70729401,4.0
-0.71715001,4.0
-0.72602801,4.0
-0.73049401,4.0
-0.73283201,4.0
-0.73887201,4.0
-0.74358001,4.0
-0.75062101,4.0
-0.75562601,4.0
-0.75919501,4.0
-0.76394401,4.0
-0.76703701,4.0
-0.77096401,4.0
-0.77315601,4.0
-0.77382201,4.0
-0.77497701,4.0
-0.77536501,4.0
-0.77701001,4.0
-0.77741101,4.0
-0.77523901,4.0
-0.77122101,4.0
-0.76309901,4.0
-0.75425401,4.0
-0.74294601,4.0
-0.72960801,4.0
-0.71637101,4.0
-0.70115701,4.0
-0.68910601,4.0
-0.67647801,4.0
-0.66277001,4.0
-0.64729701,4.0
-0.62490601,4.0
-0.59998001,4.0
-0.56861401,4.0
-0.53294201,4.0
-0.49341001,4.0
-0.44590801,4.0
-0.39379702,4.0
-0.33116302,4.0
-0.25877902,4.0
-0.17504202,4.0
-0.077701018,4.0
0.027473981,4.0
0.13926798,4.0
0.25041298,4.0
0.35819098,4.0
0.46255798,4.0
0.56396298,4.0
0.66777698,4.0
0.77693198,4.0
0.89506297,4.0
1.020788,4.0
1.147707,4.0
1.26668,4.0
1.367436,4.0
1.445592,4.0
1.501361,4.0
1.540325,4.0
1.568213,4.0
1.58684,4.0
1.593552,4.0
1.579948,4.0
1.537864,4.0
1.459196,4.0
1.339285,4.0
1.179959,4.0
0.98792797,4.0
0.77773998,4.0
0.56108598,4.0
0.34607398,4.0
0.13823698,4.0
-0.058135018,4.0
-0.23121202,4.0
-0.37650302,4.0
-0.49527601,4.0
-0.59466601,4.0
-0.68245801,4.0
-0.75345101,4.0
-0.80927501,4.0
-0.85387401,4.0
-0.89687301,4.0
-1.064837,6.0
-1.06659,6.0
-1.06362,6.0
-1.054994,6.0
-1.041565,6.0
-1.025533,6.0
-1.010307,6.0
-0.99855097,6.0
-0.98953597,6.0
-0.98159097,6.0
-0.97430697,6.0
-0.96612997,6.0
-0.95697097,6.0
-0.94875497,6.0
-0.94168297,6.0
-0.93473097,6.0
-0.92735297,6.0
-0.91897697,6.0
-0.90798997,6.0
-0.89400397,6.0
-0.87809697,6.0
-0.85917697,6.0
-0.83645997,6.0
-0.81104697,6.0
-0.78231098,6.0
-0.75020298,6.0
-0.71626298,6.0
-0.68176998,6.0
-0.64701398,6.0
-0.61284398,6.0
-0.58040198,6.0
-0.54884698,6.0
-0.51729998,6.0
-0.48579698,6.0
-0.45301499,6.0
-0.41832099,6.0
-0.38238399,6.0
-0.34612999,6.0
-0.31068799,6.0
-0.27749599,6.0
-0.24768199,6.0
-0.22155199,6.0
-0.19912199,6.0
-0.18025099,6.0
-0.16417099,6.0
-0.150248,6.0
-0.138204,6.0
-0.127343,6.0
-0.117417,6.0
-0.108869,6.0
-0.102212,6.0
-0.098031997,6.0
-0.097210997,6.0
-0.100431,6.0
-0.107379,6.0
-0.117799,6.0
-0.13203,6.0
-0.149104,6.0
-0.16884299,6.0
-0.19217899,6.0
-0.21935399,6.0
-0.25104799,6.0
-0.28909699,6.0
-0.33497399,6.0
-0.38865099,6.0
-0.45007899,6.0
-0.51879798,6.0
-0.59038698,6.0
-0.66056898,6.0
-0.72646798,6.0
-0.78304198,6.0
-0.82763097,6.0
-0.86118397,6.0
-0.88491197,6.0
-0.89983697,6.0
-0.90843697,6.0
-0.91296297,6.0
-0.91197497,6.0
-0.90576697,6.0
-0.89776497,6.0
-0.88704597,6.0
-0.87460497,6.0
-0.86251897,6.0
-0.84886697,6.0
-0.83079097,6.0
-0.80782897,6.0
-0.78059198,6.0
-0.74897998,6.0
-0.71575198,6.0
-0.68515298,6.0
-0.65557598,6.0
-0.62588098,6.0
-0.59605298,6.0
-0.56266298,6.0
-0.52406798,6.0
-0.48205699,6.0
-0.43833599,6.0
-0.39317299,6.0
-0.34832599,6.0
-0.30636299,6.0
-0.26525399,6.0
-0.22445899,6.0
-0.18699599,6.0
-0.151523,6.0
-0.11731,6.0
-0.086035997,6.0
-0.057442998,6.0
-0.028719999,6.0
0.000145,6.0
0.026197999,6.0
0.050542998,6.0
0.072291998,6.0
0.085571997,6.0
0.092791997,6.0
0.096009997,6.0
0.092929997,6.0
0.085239997,6.0
0.076561998,6.0
0.066388998,6.0
0.053307998,6.0
0.042280999,6.0
0.035702999,6.0
0.030481999,6.0
0.032234999,6.0
0.044295999,6.0
0.063406998,6.0
0.092952997,6.0
0.135546,6.0
0.18868599,6.0
0.25008499,6.0
0.32025399,6.0
0.39730999,6.0
0.47836599,6.0
0.56580898,6.0
0.66032398,6.0
0.75923698,6.0
0.86376597,6.0
0.97229397,6.0
